gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Epyc,10.62,10.04,0.58,10.33,2.7048,2.09,6.08
Fam107a,12.66,11.74,0.91,12.2,3.1938,24.89,6.34
Fbn1,4.15,2.97,1.18,3.56,0.9322,120.27,72.02
Fdps,21.81,21.78,0.03,21.79,5.7056,19.45,20.05
Fibin,17.66,16.87,0.79,17.26,4.5198,18.42,11.72
Fkbp4,18.64,20.45,1.81,19.54,5.116,13.77,27.86
Fkbp5,12.28,10.7,1.58,11.49,3.0088,105.69,45.9
Fmo1,15.72,14.37,1.35,15.05,3.9393,76.81,413.68
Fmo2,16.71,15.22,1.49,15.97,4.18,277.49,323.69
Fmo3,15.65,14.18,1.47,14.91,3.9041,92.39,91.04
Fmo4,11.66,12.83,1.17,12.25,3.2058,3.14,7.18
Foxs1,22.72,22.34,0.38,22.53,5.8993,13.38,22.7
G0s2,13.42,12.59,0.83,13.0,3.4038,109.56,25.37
G530011O06Rik,16.28,16.07,0.21,16.17,4.2345,8.26,14.08
Glul,12.32,11.08,1.24,11.7,3.0637,64.96,31.32
Gm17167,13.81,12.64,1.17,13.22,3.4622,12.48,35.27
Gm19522,18.8,17.25,1.55,18.03,4.7195,11.43,11.49
Gm22146,10.94,9.8,1.13,10.37,2.715,3.35,5.51
Gm46323,16.14,14.96,1.17,15.55,4.0714,2.96,2.97
Gsta3,15.89,16.66,0.77,16.27,4.2597,67.23,3.2
Gstm7,7.45,5.81,1.65,6.63,1.7361,7.37,4.55
Hlf,12.25,12.43,0.19,12.34,3.231,226.61,138.19
Hmgcs2,9.96,9.05,0.91,9.5,2.4884,17.71,44.6
Hspa4l,19.93,20.46,0.52,20.2,5.2873,2.1,6.65
Hspa5,21.33,21.69,0.36,21.51,5.6307,177.61,63.64
Hspa8,19.09,20.17,1.08,19.63,5.1387,10.05,10.29
Klhl13,1.22,2.29,1.07,1.75,0.4588,3.56,10.57
Lbh,22.68,23.09,0.42,22.89,5.9915,7.49,21.27
Limch1,1.92,1.53,0.39,1.73,0.4517,5.01,7.47
Lingo1,11.16,11.98,0.82,11.57,3.0285,15.8,5.47
Lmcd1,23.09,23.33,0.24,23.21,6.0764,3.88,11.25
Lmo2,10.11,9.81,0.3,9.96,2.6082,18.08,3.74
Lox,2.13,2.99,0.87,2.56,0.6704,30.44,14.88
Lpl,3.98,3.37,0.62,3.67,0.9616,34.24,82.42
Manf,20.42,21.37,0.95,20.89,5.4693,120.68,63.36
