gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Fez1,12.86,12.22,0.64,12.54,3.2824,242.1,22.95
Fgfr2,21.3,19.74,1.57,20.52,5.3718,120.44,131.93
Fibin,13.21,13.61,0.41,13.41,3.5107,1811.87,692.61
Fkbp5,12.71,10.36,2.35,11.54,3.0208,870.48,422.8
Fmo1,15.38,15.08,0.3,15.23,3.9867,70.11,52.11
Fmo2,17.91,17.53,0.37,17.72,4.6395,3981.83,5240.13
Fmo3,15.38,14.4,0.99,14.89,3.8985,3362.66,358.36
Foxf1,6.94,5.96,0.98,6.45,1.6887,38.34,8.95
Foxs1,23.92,23.85,0.07,23.88,6.253,30.52,213.63
Frmd8os,6.71,4.75,1.96,5.73,1.5008,6.81,10.9
Frzb,12.61,10.33,2.28,11.47,3.002,57.66,2.1
Fuz,7.3,8.67,1.37,7.98,2.0897,2.97,7.48
Fzd4,14.83,12.59,2.24,13.71,3.5884,17.51,126.17
Gabra3,21.87,19.71,2.16,20.79,5.4425,48.44,5.02
Galnt6,5.52,6.15,0.63,5.83,1.5275,83.78,37.46
Gfod1,22.47,21.27,1.2,21.87,5.7247,18.99,42.73
Gk,1.46,0.24,1.22,0.85,0.2222,107.5,48.04
Glt8d2,16.71,17.58,0.88,17.15,4.4889,13.08,28.84
Glul,12.74,11.82,0.92,12.28,3.2142,1363.65,367.44
Gm10069,20.46,22.15,1.69,21.31,5.5786,5.26,8.55
Gm11827,12.57,10.08,2.49,11.32,2.9644,2.77,4.6
Gm13861,15.1,14.69,0.4,14.89,3.8995,26.31,7.73
Gm15972,11.7,11.09,0.61,11.4,2.9842,11.0,4.93
Gm17167,12.88,11.29,1.58,12.09,3.1639,212.2,7.82
Gm19689,0.4,1.13,0.73,0.77,0.2007,8.89,7.05
Gm34471,23.35,23.68,0.33,23.52,6.1563,4.52,10.86
Gm41724,2.09,1.68,0.41,1.89,0.4944,19.73,27.85
Gm45051,13.23,13.48,0.25,13.36,3.4967,14.95,2.7
Gm47283,16.85,16.37,0.48,16.61,4.3493,812.6,203.81
