gene	log_min	log_max
Heatr1	-13.4646435	-10.010765
Agpat1	-12.969215	-9.515336999999999
Cdt1	-15.692814000000002	-12.238935000000001
Txndc16	-12.842407000000001	-9.388529
Dcdc2a	-21.218266	-17.764389
Meox2	-15.680933	-12.227055
Oip5	-17.175214999999998	-13.721337
Fsd2	-19.138824	-15.684947
Gm35326	-20.52512	-17.071243
Ubp1	-11.666822	-8.212944
Osbpl8	-12.473619	-9.019741
Hcrtr1	-18.510216	-15.056338
Derl2	-11.875671	-8.421793
Amhr2	-17.850970999999998	-14.397094000000001
Klra2	-19.831972	-16.378096
Gm42696	-17.091133	-13.637255
Sppl2b	-13.237217999999999	-9.7833395
Gm48689	-20.119654	-16.665777
Tg	-15.771529999999998	-12.317652
Pfn1	-8.761178999999998	-5.307301
Disp1	-14.363913	-10.910034
Nfib	-9.488795	-6.034918
Pyroxd2	-17.480597	-14.026719
Gm5617	-12.722094	-9.268215
Mdm1	-15.275468	-11.821589
Mfsd14a	-12.120984	-8.667106
Gm2895	-19.831972	-16.378096
Ccdc169	-17.175214999999998	-13.721337
Lpin2	-13.7846	-10.330722
Ifi204	-17.457067000000002	-14.003189
Pidd1	-16.969772	-13.515894
Fut4	-17.229282	-13.775405
Polr2c	-10.863354	-7.409476
Sirt5	-13.191117000000002	-9.737239
Parvg	-21.218266	-17.764389
Atf7ip2	-18.327894	-14.874017000000002
Pcdhga10	-14.641798000000001	-11.18792
Gm39244	-20.52512	-17.071243
Hoxb4	-12.605582	-9.151703999999999
Pla2g4e	-16.030882000000002	-12.5770035
Gpt	-15.067664	-11.613786
Gm13920	-18.173744	-14.719867
Ltb4r2	-17.691906	-14.238029000000001
Peg10	-15.038251	-11.5843725
Iscu	-10.202939	-6.749061
Ctsf	-11.5480995	-8.094221000000001
Prrx1	-10.884296	-7.4304185
Zswim7	-13.203932	-9.750053
Trpv4	-18.040213	-14.586335
1810058I24Rik	-10.699189	-7.2453113
Gm14305	-13.437129	-9.983251
Cd5	-16.593294	-13.139416
Phgdh	-12.623558000000001	-9.16968
Mon2	-11.912162	-8.458283
Gm15543	-21.218266	-17.764389
Rad9b	-15.166178	-11.712299
Wfdc3	-17.286442	-13.832563
Cln6	-13.761235000000001	-10.307357000000001
Rela	-11.672526	-8.218648
Ube3a	-10.729106	-7.275228
Aldh9a1	-12.950305	-9.496427
Gm34866	-18.445677	-14.991798999999999
Cfap300	-16.482069	-13.028191
Slc25a19	-12.791875	-9.3379965
Mmp21	-19.831972	-16.378096
Zfp992	-13.502251999999999	-10.048373
Cenps	-15.856976000000001	-12.403097
Gm47391	-19.831972	-16.378096
3110070M22Rik	-14.340971	-10.887093
Erbb4	-13.3874445	-9.933566
Smarcc2	-11.583052	-8.129173
S100a2	-18.73336	-15.279482999999999
Them6	-14.42368	-10.969802
Jade3	-14.991731	-11.537852
Naalad2	-14.258869	-10.804991000000001
Psme2	-11.252416	-7.798537700000001
Ccdc149	-13.663932999999998	-10.210054
Gm6133	-15.410125	-11.956246
Pmepa1	-8.910175	-5.4562974
Enpp3	-14.478929999999998	-11.025052
Tbca	-10.192142	-6.7382636
Ppdpf	-11.454905	-8.001026
Ap1s1	-11.766236	-8.312358
Gm42477	-20.119654	-16.665777
Kifc2	-14.661489000000001	-11.20761
2410018L13Rik	-16.811548000000002	-13.35767
Vrk2	-13.300002	-9.846124
