tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
NFIA (human),64,Haghl;Mthfd1;Ngef;Adssl1;Pkig;Pdgfb;Sult1a1;Lrrc20;F3;Pgm2l1;Fabp3;Nudt10;Slc25a34;Pcyt2;Gstt1;Eif4ebp2;Dst;Upp2;Ppp1r3b;Tmem86a;Ppp1r1b;Ifi30;Il16;Ano1;Herpud1;Enpp4;Rarres1;Chchd10;Cnn1;Cytl1;Prelid2;Tef;Fbxl22;Sv2a;Ndfip1;Jdp2;Cyb561;Gas7;Endod1;Gramd4;Brd7;Fkbp5;Csf1;Papss2;Ndp;Lancl3;Phactr3;Asph;Lsp1;Glrx;Arrdc2;Tnnt2;Vgll4;Arl6ip5;Banp;Strbp;Mlf1;Aldoa;Sgk1;Ubxn1;Acvrl1;Rab6b;Hist1h1e;Pkd1,2.8125,5,12.084699000140802,5.717616432817998,11.0
FOS (human),60,Psmd9;Nmt1;Mdc1;Alkbh7;Pacsin2;F3;Fabp3;Gk;Rasl11a;Slc9a3r1;Pim1;Bok;Ip6k2;Tspan15;Fbxo5;Upp2;Mfsd10;Dclk1;Mgp;Epb41;Pik3r1;Rgl1;Rassf3;Arsg;Cd14;Per2;Thsd7a;Mid1;Asb10;Prnp;Cnn1;Prr7;Nptn;Asb5;Serpine1;Nr1d1;Slc6a7;Gja4;Ythdf2;Smoc1;Csf1;Papss2;Ablim1;Kcnab1;Dusp23;Dusp14;Ccdc60;Slc24a4;Tnni3;Nipal4;Nceh1;Dpf1;Ankrd1;Gsta4;Tctex1d2;Dock8;Cmtm8;Hspa5;Tgfbr2;Rbm3,2.8000000000000003,5,12.023957308099583,6.6766479196124315,11.0
Sox2 (mouse),43,Adam33;Cdc25b;Hprt;Ahsa1;Dlx5;Ech1;Akr1c14;Pclo;Cnn1;Etv1;Trp53inp1;Snrpn;Papss2;Arrdc3;Pdk4;Gse1;Caprin2;Fgfr2;Rbm3;Prex2;Peli1;Ptgs2;Rnaseh2b;Slc25a17;Ebp;R3hdm2;Unc119;Olfr1034;Dusp18;Sox9;Strbp;Mapre2;Npy1r;Abcg2;Ephx1;Dnajc10;Dock8;Ect2l;Dpp9;Hist1h1e;Palld;Acan;Chchd6,2.7906976744186047,6,13.33332432502314,5.7010476103590255,13.0
USF1 (mouse),43,Upb1;Klf15;Fasn;Pxmp2;Mrpl43;Wtip;Bik;Cdc25b;Tnfrsf21;Trim58;Kcnk1;Crybg3;Myadml2;Slc25a14;Upp2;Tmem86a;Akr1c14;Ndrg4;Ppfia4;Prnp;Tgm2;Nptn;Tef;Asb2;Nfatc1;Gramd1c;Fam71e1;Col23a1;Pf4;Dgkh;Lancl3;Serinc3;Lsp1;Akap5;Klhdc8b;Krt18;Aldoa;Sgk1;Magt1;Tgfb2;Rasd2;Manba;Usp53,2.7906976744186047,5,11.899484999942572,5.703183576632899,11.0
LOC135440 (human),13,Dclk1;Cyp1b1;Stac;Pik3r1;Net1;Il16;Steap3;Ablim1;Fam13a;Slc2a4;Nr4a1;Ece1;Nptn,2.7692307692307696,7,12.665832236275556,6.285851594796224,15.0
Pdx1 (mouse),26,Mdc1;Sphk1;Wtip;Rnaseh2b;Frzb;Itga9;Ephb6;Ech1;Ereg;Neu2;Ypel2;Hsd17b7;Inhbb;Cnn1;Aff2;Bves;Cdkn2b;Brd7;Papss2;Frmd4a;Syne1;Arrdc3;Gpm6a;Cdk2ap1;Hist2h2be;Col6a6,2.7692307692307696,11,20.11099757099903,5.872053184581684,23.0
ATF1 (human),13,Tmtc1;Creld1;Exd2;Kcnc4;Tmem165;Phgdh;Il33;Dpy19l3;Tle6;Fam107a;Abhd11;Trim58;Prc1,2.7692307692307696,6,15.255806836927572,3.3590285093343817,13.0
HMGA1 (mouse),57,Mettl7a1;Fasn;Pdgfc;Rapgef5;Rasl10b;Lrch1;Htr2a;Ddi1;Ntrk3;Fem1c;Cyp39a1;Crispld2;Rin3;Il33;Asap2;Gas7;Slc8a3;Nampt;Snrpn;Tle1;Ablim1;Mcm5;Col27a1;Selenbp1;Adamts8;Mlf1;Gdpd5;Cstad;Atp1b1;Gsta4;Hfe;Cyp2j6;Lrrtm3;Nox4;F3;Tuba1b;Foxp2;Snx7;Mid1;Slc1a4;Eepd1;Slc16a11;Prr15;Adnp2;Hcls1;Sema5a;Rbbp4;Dtd1;Cyp4f14;Ndp;Smarcd2;Tnnt2;Krt18;Mapre2;Axl;Pdia5;Spry2,2.736842105263158,7,13.719624242760231,4.595458146617583,15.0
CREB1 (human),98,Atf3;Dusp8;Dgat2;Snx18;Ndst3;Cdc25b;Trim58;Gstz1;Epb41;Aimp2;Hhip;Sec14l1;Phgdh;Thsd7a;Ubxn2b;Plat;Cnn1;Nav2;Agpat4;Dapk2;Tef;St3gal5;Nr1d2;Rara;Gas7;Gramd1c;Tead1;Cdkn2c;Lyst;Ablim1;Angpt4;Selenbp1;Sik1;Arrdc2;Cbfa2t3;Magt1;Rab6b;Zcchc24;Gsta4;Caprin2;Zmat1;Lrrtm3;Lonrf1;H2afv;Rbm3;Adssl1;Pusl1;Gprc5b;Fabp3;Spsb1;Ptgs2;Slc16a1;Gk;Mapkapk3;Ppp1r15a;Foxo3;Cdc42ep4;Fam13a;Vbp1;Pmvk;Slc25a17;Slc25a14;Pik3r1;Scn2b;Art3;Ppp1r10;Tspan4;Id1;Acaa2;Gpcpd1;Sfpq;Aff2;Bcl7c;Asb2;Bves;Rnf152;Nkx6-1;Kcnab1;Mafb;Cacnb2;Fam107a;Klf4;Lsp1;Tnnt2;Dpf1;Glul;Tsc22d3;Aldoa;Cilp2;Tmem136;Elmo1;Myh10;Stil;Dock5;Dock8;Nr4a1;Spry1;Camk2b,2.6938775510204085,6,11.96237394402785,6.903784321950775,13.0
CBEPA (mouse),49,Rapgef5;Exd2;Egln3;Ndst3;Hprt;Trim58;Ech1;Btc;Csrnp1;Herpud1;Dact1;Homer2;Btg1;Pf4;Papss2;Ablim1;Cebpd;Syne1;Ifitm3;Slc22a4;Olfr224;Cdh18;Colec11;Mdc1;Mapkapk3;Slc16a4;Mdn1;Upp2;Tm4sf1;Dclk1;Ntn4;Rgl1;Tspan4;Hivep3;Vcan;Daam1;Rbm44;Lama2;Nptn;Asb5;Fmo3;Sulf1;Dusp18;Ang;Dpf1;Abcg2;Manba;Nr4a1;Pde4b,2.6938775510204085,6,13.050326072814338,7.376957318114643,13.0
