gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
H2-D1,10.67,2.7921,34.3,-8.6618
H2-Eb1,6.06,1.5861,7.28,-13.57
H2afv,15.12,3.9577,27.01,-8.6559
Haghl,8.43,2.2058,45.29,-10.6378
Hapln1,14.63,3.8295,89.61,-11.9664
Has3,11.81,3.0921,33.88,-13.5848
Hat1,12.77,3.3437,19.73,-10.9806
Hbegf,2.98,0.7806,21.67,-9.0801
Hcls1,16.27,4.2599,2.79,-12.8668
Hebp2,6.47,1.6926,18.13,-12.0494
Herc6,18.7,4.8947,10.26,-11.8928
Herpud1,13.37,3.4991,281.74,-9.2212
Hes1,6.69,1.7524,130.18,-9.4956
Hes6,6.55,1.7144,68.97,-11.2073
Hfe,11.44,2.9958,10.68,-12.9071
Hhip,8.78,2.2986,27.13,-12.8014
Higd1a,16.73,4.3797,231.53,-7.9653
Hist1h1e,1.93,0.5047,118.39,-10.1431
Hist1h2ap,21.64,5.6656,16.74,-11.659
Hist1h3e,3.86,1.0109,6.9,-13.4741
Hist1h4d,2.2,0.5761,103.83,-10.171
Hist1h4h,1.01,0.2646,4.16,-10.8057
Hist2h2aa1,22.7,5.9416,47.72,-10.8899
Hist2h2ac,1.81,0.4742,10.79,-11.6591
Hist2h2be,21.17,5.541,3.38,-12.0813
Hist2h3c2,20.31,5.3175,33.11,-13.0619
Hist3h2a,13.89,3.6361,74.4,-11.0347
Hivep3,2.46,0.6452,25.23,-11.1685
Hlf,13.57,3.5527,1860.22,-10.0557
Hmgb3,8.33,2.1797,37.81,-11.6108
Hmgcr,21.57,5.6464,6.42,-10.8561
Hmgcs1,20.7,5.4189,150.89,-9.8406
Hmgcs2,14.88,3.8965,157.15,-9.7475
Hmgn2,13.4,3.5072,88.05,-10.0409
Hnrnpa1,11.27,2.9504,62.6,-8.8742
Hnrnpdl,8.95,2.3438,36.89,-8.9865
Hnrnpk,9.37,2.4527,10.55,-8.1504
Hnrnpm,19.16,5.0167,98.05,-9.1645
Homer2,15.17,3.9706,10.39,-13.7201
Hprt,11.57,3.0293,16.91,-10.1541
Hsbp1l1,11.4,2.9846,7.04,-13.7989
Hsd17b7,22.14,5.7954,8.6,-11.8427
Hsp90b1,23.43,6.1349,150.31,-7.6547
Hspa5,21.7,5.6806,1086.47,-7.7128
Hspb7,10.79,2.8252,1374.69,-8.4558
Htr2a,0.23,0.0613,34.11,-11.6778
Hyou1,21.85,5.721,9.88,-11.0108
Id1,11.69,3.0592,402.75,-8.4047
Id3,11.37,2.9762,67.39,-7.369
Idh2,12.13,3.1761,57.79,-9.0826
Idi1,20.62,5.3995,327.38,-10.415
Ier5,0.23,0.0598,351.67,-9.4927
Iffo2,0.63,0.164,10.3,-11.5548
Ifi30,11.77,3.0815,87.92,-10.246
Ifit2,17.08,4.4714,12.73,-11.5249
Ifit3,14.94,3.9103,819.02,-12.1171
Ifit3b,15.13,3.9602,367.83,-12.9225
Ifitm3,13.13,3.4385,44.69,-8.5377
Igfbp5,15.36,4.0209,754.84,-9.1554
Igsf8,14.62,3.8276,77.91,-9.9745
Igsf9,1.26,0.3287,23.99,-10.7019
Ikzf2,17.09,4.4729,9.11,-11.3382
Il16,10.53,2.7562,7.27,-12.4748
Il33,15.09,3.9511,3.69,-13.1139
Il4ra,23.93,6.265,12.28,-12.7853
Inhbb,20.49,5.3639,48.34,-12.624
Insig1,21.2,5.549,2.75,-10.6818
Ip6k2,12.48,3.2675,41.16,-11.148
Irx3,0.78,0.2043,43.58,-12.9089
Isoc1,6.68,1.7496,4.43,-11.4512
Itga1,22.19,5.8083,55.77,-8.4534
Itga9,1.05,0.2755,206.77,-8.0146
Itgb3,0.13,0.033,234.69,-9.7505
Itpr2,10.02,2.6225,7.86,-12.2557
Jam2,17.12,4.4822,46.87,-12.2772
Jdp2,16.94,4.4338,24.9,-11.2168
Kcna2,2.07,0.5423,24.75,-13.1228
Kcnab1,3.61,0.9463,27.23,-8.801
Kcnb1,5.2,1.362,10.5,-11.0626
Kcnc4,16.73,4.3793,66.0,-10.7728
Kcnd3,6.81,1.7826,4.94,-11.5922
Kcnk1,12.31,3.2217,12.93,-13.525
Kcnq3,19.35,5.0668,4.14,-12.1468
Kcns3,12.68,3.3197,123.67,-12.0306
Khdrbs3,14.47,3.7876,97.58,-10.0053
Kitl,15.05,3.939,88.1,-10.594
Klf11,9.16,2.3987,14.8,-11.8781
Klf15,11.49,3.0072,386.67,-10.454
Klf2,5.77,1.5113,96.96,-9.0202
Klf4,4.02,1.053,218.92,-9.247
Klf9,10.53,2.7568,713.51,-7.8559
Klhdc8b,10.26,2.6857,65.62,-10.1009
Klhl30,1.65,0.4315,18.49,-11.421
Kremen1,0.86,0.2244,11.66,-11.7917
Krt18,3.66,0.9578,53.79,-10.9054
Ky,4.67,1.2216,68.25,-11.906
Lag3,2.62,0.6871,12.86,-13.1527
Lama2,5.85,1.532,10.41,-10.7379
Lancl3,23.56,6.1677,42.38,-10.4466
Lars2,1.94,0.5091,520.75,-7.3226
Lasp1,0.2,0.052,28.87,-11.2147
Ldlr,20.89,5.469,217.57,-10.0893
Leo1,0.04,0.01,334.64,-11.2916
Limch1,2.2,0.5757,378.24,-8.3522
Limd1,12.51,3.2762,13.6,-10.0148
Lin9,13.18,3.4517,32.22,-12.51
Lmcd1,0.51,0.1335,770.38,-7.7768
Lnx2,23.78,6.2244,15.88,-11.657
Lonrf1,15.3,4.0062,177.33,-10.9976
Lonrf3,18.86,4.9365,71.9,-13.5172
Lox,23.69,6.2032,1011.66,-8.9633
Lpcat4,10.9,2.8534,4.46,-12.5142
Lpl,15.73,4.1176,302.38,-10.7862
Lratd1,5.72,1.498,20.05,-11.4379
Lrch1,4.55,1.1904,4.38,-10.9212
Lrg1,12.26,3.2108,11.85,-13.2812
Lrrc17,9.58,2.5071,13.74,-9.1204
Lrrc20,23.59,6.1754,5.49,-11.9288
Lrrc4b,10.6,2.7754,2.49,-13.0378
Lrrk1,14.85,3.8889,2.12,-11.2326
Lrrtm3,10.83,2.8358,16.12,-12.8751
Lsm6,4.9,1.2816,2.1,-9.3639
Lsmem1,4.6,1.2055,22.12,-12.2527
Lsp1,8.91,2.3314,12.37,-10.8733
Lxn,14.61,3.8247,86.07,-9.736
Lyst,20.63,5.401,31.49,-9.8801
Lzts3,18.85,4.9354,7.41,-12.375
Maco1,14.45,3.7835,57.1,-9.6284
