tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
REPIN1 (human),31,Cyb5r2;Sdf2l1;Smtnl2;Map3k6;Kcnd3;Lepr;Pim3;Cirbp;Ephb2;Egr3;Foxf1;Rnf144a;Spon2;Per2;Tcap;Camkk2;Ndufv3;Grk5;St3gal4;Tspyl5;Eln;G0s2;Esrrg;Tmsb10;Lbh;Fbxl13;Svil;Map4k4;Arhgap20;Dbp;Thbs1,3.096774193548387,6,8.115423895482111,6.586314194857619,13.0
ZBTB7A (human),31,Crlf1;Mbd1;Slco3a1;Tmem52;Sh3bp2;Trim67;Lingo1;Ece1;Fndc5;Tspan4;Creld2;Lmcd1;Per3;Dpy19l3;Slc43a1;Ern1;Klhl13;Acaa2;Grk5;Rere;Cdkn1a;Adamtsl2;Aifm3;Krba1;Serpini1;Manf;Glul;Rab6b;Svil;Rasd2;Dbi,3.096774193548387,6,13.458291265482256,6.123597637974607,13.0
HINFP (human),66,Plscr2;Lypd1;Crlf1;Mbd1;Spp1;Fst;Ece1;Eci2;Tcap;Mknk2;Rere;Tef;St3gal4;Nr1d2;Gjb5;G0s2;Epyc;Lbh;Fbxl13;Aqp1;Mthfd1l;Sorbs1;Lmo2;Lox;Dbi;Tmem52;Ptgs1;Psmb8;Zbtb16;Has1;Lepr;Tmem86a;Foxf1;Prg4;Tspan4;Per3;Per2;A4galt;Clmp;Cyp1b1;Cyb561;Eln;Fmo4;Serpinb8;Tmem158;Hbegf;Erp29;Esrrg;Cacnb4;Rheb;Ankrd12;Krba1;Aspa;Sema3e;Arntl;Mgst1;Nln;Tsc22d3;Fibin;Igsf9;Fam180a;Sash1;Pde8a;Hspa8;Hspb7;Pde4b,3.090909090909091,6,10.418972299079204,4.675194467500754,13.0
STAT5B (mouse),35,Asphd2;Scp2;Lypd1;Bhlhe41;Mbd1;Slco3a1;Cdc25b;Pdcd4;Rasl11a;Spp1;Bok;Rarres1;Grem2;Hmgcs2;Rfc3;Slc4a10;Selenbp1;Aqp1;Meox2;Wee1;Rbm3;Fabp3;Ccl2;Socs2;Taf4b;Fam174b;Creb3l1;Cyp1b1;Ccl11;Fam107a;Efhd1;Tnnt2;Rhoc;Scd2;Pkd1,3.0857142857142854,4,10.61262879471488,5.646903341871824,9.0
ESR1 (human),32,Ethe1;Scp2;Ptgs1;Srsf3;Rnaseh2b;Rasl11a;Arl4d;Ttc39b;Mia;Eci2;Tspan4;Socs2;Lmcd1;Per1;Camkk2;Rarres1;Ern1;Fdps;Rere;Serpine1;St3gal4;Nr1d2;Rpn1;Aifm3;Deptor;Fkbp5;Fibin;Cutc;Magt1;Acsf3;Idi1;Pkd1,3.0,5,12.585549369748112,4.843249308043583,11.0
E2F6 (human),40,Asphd2;Sdf2l1;Crlf1;Fabp3;Kcnd3;Fst;Lingo1;Lysmd2;Ece1;Ephb2;Egr3;Tspan4;Creld2;Per3;Slc43a1;Camkk2;Rarres1;Wnt4;Nr1d2;Cyb561;Eln;Col4a3;Gpr146;Cys1;Ankrd12;Cdc14a;Efhd1;Limch1;Cpt1a;Fbxl13;Cebpd;Svil;Slfn5;Rasd2;Pde8a;Lox;Hspa5;Dbi;Wee1;Nt5dc2,3.0,6,9.64710206385652,5.962838222329942,13.0
NR2F1 (mouse),20,Larp6;Asphd2;Plscr2;Bhlhe40;Eci2;Tspan4;Nfil3;Fam174b;Pld1;Wnt2;Fzd1;Zfp185;Cdkn1a;Sbsn;Serpina3c;Smpdl3b;Manf;Pdk4;Sipa1l1;Gsta3,3.0,5,12.067530964721442,5.542996110453434,11.0
RORB (mouse),20,Larp6;Asphd2;Plscr2;Bhlhe40;Eci2;Tspan4;Nfil3;Fam174b;Pld1;Wnt2;Fzd1;Zfp185;Cdkn1a;Sbsn;Serpina3c;Smpdl3b;Manf;Pdk4;Sipa1l1;Gsta3,3.0,5,12.067530964721442,5.542996110453434,11.0
Sox5 (mouse),8,Cntfr;Gstm7;Adamtsl2;Epyc;Rheb;Sema3e;Fastkd3;Aldh3a1,3.0,6,12.565770511223636,3.195714205479611,13.0
NR2F1 (human),20,Plscr2;Cdc25b;Npas2;Fam13a;Ephb2;Mmp3;Nptn;Gabra3;Kat2b;Tmem229b;Cdkn1a;Ckb;Sema3e;Aqp1;Ptgfr;Sorbs1;Lmo2;Sash1;Acsf3;Dbp,3.0,4,8.82012805293505,6.53780861207147,9.0
