gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
MTF1 (human),35,Prex1;Bhlhe41;Hsd11b2;Smtnl2;Tmem52;Zbtb16;Kcnd3;Lingo1;Cox4i2;Nova1;Foxf1;Ppp1r1b;Tspan4;Per3;Pnpla2;Taf1c;Rgs7;Etv4;Wnt2;Wnt4;Cyp1b1;St3gal4;Angptl4;Cdh4;Igfbp3;Pgf;Cacnb4;Klf2;Svil;Rasd2;Basp1;Aldh3a1;Csf2ra;Dbp;Camk2b,0.684319,0.477377,0.256418,0.684192,-0.174523,-0.361309,0.012753,-0.206942,-0.437175,0.009881,-0.004335,-0.186575,0.213827
ETV4 (human),38,Mbd1;Sh3bp2;Osgin1;Ece1;Ccl2;Tspan4;Socs2;Col5a3;Cytl1;Bmp4;Hspa1b;Cyb561;Adm;Fmo4;Dhrs3;Angptl7;Angptl2;Adamtsl2;Fkbp5;Hmgn2;Esrrg;Cacnb4;Notch4;Ankrd12;Hmgcs2;Slc24a5;Coch;Aqp1;Arrdc4;Ezr;Lrrn4cl;Gsta4;Aldh3a1;Arhgap18;Cabp1;Csf2ra;Aldh3b1;Camk2b,0.664821,0.479874,0.305011,0.698175,-0.160825,-0.354832,0.03786,-0.184948,-0.399987,0.013414,-0.113934,-0.30201,0.07352
HOXD9 (human),30,Bok;Enpp2;Ccnb1ip1;Cytl1;Coch;Arrdc3;Ifit3;Sorbs1;Postn;Hlf;Hsph1;Lefty1;Cyp2e1;Lingo1;Pabpc1l;Fhl2;Creld2;Camkk2;Taf1c;Mmp3;Psrc1;Fmo1;Fmo2;Rspo1;Dhcr24;Uba52;Aspa;Slc24a5;Sema3e;Hspb1,0.657581,0.488794,0.215146,0.692727,-0.168788,-0.316372,0.043469,-0.063423,-0.259912,0.166117,-0.027245,-0.227568,0.17336
ZNF354C (human),19,Klf11;Zbtb16;S100a4;Sh3bp2;Leo1;Spp1;St5;Tspan4;Enpp2;Cytl1;Serpine1;Prdx6;Esrrg;Nes;Selenbp1;Uba52;Sorbs1;Top1mt;Hlf,0.625727,0.449866,0.1941,0.702884,-0.175861,-0.441622,0.086825,-0.147748,-0.355387,0.129576,0.05979,-0.218758,0.294497
IRF9 (human),4,Arntl;Prg4;Isg15;Ifit1,0.609521,0.276069,-0.34513,0.928943,0.440885,-0.073923,0.931566,0.63904,0.202494,1.120346,0.029519,-0.603181,0.863165
SRF (mouse),18,Mthfd2;Gria4;Dlx6;Bst2;Plac8;Ifi27l2a;Lmo2;Postn;Clock;Lum;Serpine1;Esrrg;Notch4;Kcnj15;Tnmd;Aspa;Smpdl3b;Hspb1,0.607234,0.313301,0.07881,0.565867,-0.086176,-0.36383,0.146652,-0.156517,-0.385168,0.114044,-0.293934,-0.588597,0.032125
FOXA1 (mouse),33,Plscr2;Smpd3;Hprt;Ece1;Nfil3;Pld1;Trdmt1;Gfod2;Xlr;Tmem229b;Fkbp5;Ifit1;Sorbs1;Cst6;Wif1;Postn;Wee1;Fabp4;Ccl8;Zfp119b;Stbd1;Isg15;A4galt;Rgs7;Bmp4;Pik3r3;Fmo3;Esrrg;Notch4;Kcnj15;Uba52;Sash1;Arhgap20,0.603506,0.355752,0.145886,0.556418,-0.05981,-0.283889,0.093714,0.008957,-0.175625,0.1701,-0.247754,-0.448627,-0.045656
NR2F1 (mouse),19,Larp6;Plscr2;Jam2;Tspan4;Nfil3;Fam174b;Pld1;Wnt2;Cry1;Xlr;Ahsg;Cdkn1a;Serpina3c;Smpdl3b;Manf;Ifit3;Pdk4;Gsta3;Megf10,0.583155,0.441523,0.109937,0.722457,0.063695,-0.151093,0.286805,-0.141632,-0.435744,0.103584,-0.067964,-0.318987,0.170743
RORB (mouse),19,Larp6;Plscr2;Jam2;Tspan4;Nfil3;Fam174b;Pld1;Wnt2;Cry1;Xlr;Ahsg;Cdkn1a;Serpina3c;Smpdl3b;Manf;Ifit3;Pdk4;Gsta3;Megf10,0.583155,0.441523,0.109937,0.722457,0.063695,-0.151093,0.286805,-0.141632,-0.435744,0.103584,-0.067964,-0.318987,0.170743
SP3 (human),33,Klf11;Bhlhe41;Hsd11b2;Tmem52;Pigz;Cxcl12;Slc27a1;Sh3bp2;Slc9a3r1;Lepr;Lingo1;Fndc5;Cpne7;Foxf1;Tspan4;Per3;Wnt4;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Bcam;Prdx6;Cdh4;Ankrd12;Ezr;Glul;Atp1b1;Rasd2;Wee1;Nt5dc2,0.573854,0.367297,0.152401,0.59367,-0.167516,-0.348331,0.027471,-0.206557,-0.428437,0.005602,0.075243,-0.158487,0.275152
NR5A1 (human),28,Hpgd;Hsd11b2;Rasl11a;St5;Chordc1;Adcyap1r1;Herpud1;Vmo1;Ccnb1ip1;Rgs7;Clmp;Xylt1;Plac8;Eln;G0s2;Fmo1;Fmo2;Dhrs3;Aifm3;C1qtnf3;Angpt2;Sema3e;Arrdc4;Tns3;Sorbs1;Dock10;Diaph3;Aldh3b1,0.567428,0.358446,0.128602,0.604294,-0.018675,-0.253431,0.180987,-0.208982,-0.426144,0.005252,0.08665,-0.112932,0.324034
CREB1 (human),49,Ch25h;Cilp;Dgat2;Mbd1;Cdc25b;Slc10a6;Vmo1;Htra4;Pld1;Trdmt1;Tef;Nr1d2;Angptl4;Aifm3;Pgf;Selenbp1;Magt1;Gsta4;Lonrf1;Rbm3;Fabp4;Smtnl2;Tmem52;Has1;Fam13a;Spon2;Tspan4;Ctsk;Isg15;Acaa2;Il6;Sox12;Stmn1;Fmo4;Ccl11;Fam107a;Inmt;Itpr3;Tnnt2;Ptgfr;Glul;Tsc22d3;Fam180a;Aldh3a1;Csf2ra;Aldh3b1;Arap2;Camk2b;Nt5dc2,0.560002,0.39872,0.201002,0.576463,-0.161282,-0.31154,0.003669,-0.137068,-0.324032,0.036924,-0.008304,-0.181485,0.120809
PCBP1 (human),33,Klf11;Bhlhe41;Kcna2;Tmem52;Pigz;Slc27a1;Sh3bp2;Lepr;Lingo1;Egr3;Foxf1;Tspan4;Per3;Camkk2;Wnt4;Add2;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Stmn1;Cdh4;Ankrd12;Ezr;Glul;Nme3;Atp1b1;Dbp;Wee1;Nt5dc2,0.547206,0.346065,0.131572,0.609168,-0.201141,-0.413093,-0.011332,-0.164903,-0.341763,0.023623,0.040701,-0.158024,0.269928
SP1 (human),38,Klf11;Bhlhe41;Hsd11b2;Tmem52;Pigz;Slc27a1;Sh3bp2;Lepr;Lingo1;Lcn8;Fndc5;Cpne7;Egr3;Foxf1;Ppp1r1b;Tspan4;Nfil3;Per3;Marveld1;Wnt4;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Stmn1;Ankrd12;Tnnt2;Ezr;Glul;Nme3;Atp1b1;Rasd2;Dbp;Wee1;Nt5dc2,0.53785,0.376143,0.171306,0.625123,-0.161708,-0.326958,0.039813,-0.104572,-0.30345,0.097874,0.088088,-0.120814,0.285581
IRF8 (human),32,Slco3a1;Txnip;Ece1;Enpp6;Nr1d1;Nr1d2;Angptl4;Hmgn2;Angpt2;Mab21l2;Por;Ifit1;Sorbs1;Lmo2;Lox;Cabp1;Megf10;Hlf;Hsph1;Cyp2e1;Rnaseh2b;Fndc5;Foxf1;Prg4;Tspan4;Isg15;Klhl13;Vcan;Cntfr;Emb;Igfbp3;Nt5dc2,0.535899,0.418444,0.163664,0.645848,-0.117455,-0.296004,0.06269,0.123031,-0.057728,0.346889,-0.062144,-0.246448,0.142539
HIF1A (human),22,Vmo1;Htra4;Coq10b;Fkbp5;Vgll3;Ifit1;Magt1;Cst6;Rnaseh2b;Hp;Leo1;Fam13a;Acaa2;Psrc1;Serpine1;Cyb561;Efhd1;Aspa;Fam180a;Hspa5;Arap2;Camk2b,0.533593,0.398379,0.140845,0.662378,-0.135214,-0.341476,0.153446,0.048574,-0.201673,0.266385,0.024462,-0.220455,0.272346
GATA3 (human),43,Rasl11a;Slc9a3r1;Bok;Ece1;Adcyap1r1;Enpp2;Htra4;Cytl1;Cry1;Tef;Plac8;Aifm3;Fkbp4;Dnaja1;Mthfd1l;Svil;Wif1;Lpl;Plaur;Hsd11b2;F13a1;Psmb8;Sh3bp2;Has1;Slc38a1;Prg4;Creld2;Ano2;Isg15;Klhl13;Rgs7;Cpt2;Fmo3;Sema3e;Ezr;Fam180a;Arhgap18;Csf2ra;Plcxd3;Aldh3b1;Hspa5;Hspb7;Cxcl5,0.533173,0.439463,0.27181,0.594397,-0.069666,-0.234108,0.109137,-0.09371,-0.294109,0.119519,-0.04899,-0.243881,0.140302
NFAT2 (human),28,Mmp14;Mbd1;F13a1;Ccl7;Ttc39b;Per1;Enpp2;Ccnb1ip1;Rgs7;Trdn;Vcan;Pld1;Cry1;Plac8;Fmo1;Fmo2;Fmo3;Dio2;Esrrg;Kcnj15;Cutc;Hoxa10;Postn;Diaph3;Hspa8;Ncam1;Gap43;Clock,0.526081,0.349541,0.099369,0.57734,-0.048327,-0.303176,0.224203,-0.162703,-0.391511,0.065703,-0.17654,-0.420778,0.113425
ETV4 (mouse),31,Plscr2;Mmp14;Kcna6;Smpd3;Tcap;Htra4;Etv4;Tef;Plac8;Hmgcs2;Angpt2;Lyz2;Hmcn1;Ifit3;Lmo2;Gap43;Clock;Hlf;Lepr;Ctla2a;Ccl2;Socs2;Per1;Fmo3;Ccl11;Cacnb4;Rhobtb1;Tsc22d3;Npy1r;Aldh3a1;Ncam1,0.515249,0.37701,0.171111,0.586088,-0.138239,-0.387993,0.057583,-0.106899,-0.289008,0.110302,0.048348,-0.169492,0.250204
GLI2 (human),38,Chst1;Mbd1;Kcna2;Zbtb16;Cdc25b;Cxcl12;Npas2;Jam2;Trim67;Cirbp;Ttc39b;Chordc1;Adcyap1r1;Tspan4;Ano2;Per1;Tcap;Acaa2;Rgs7;Pik3r3;Rasgef1b;Wnt2;Ptx3;Add2;Cbs;Tef;Nr1d2;Plac8;Gja4;Erf;Itpr3;Selenbp1;Smpdl3b;Sorbs1;Lrrn4cl;Dock10;Dbp;Wee1,0.504192,0.300586,0.08628,0.469295,-0.203606,-0.396925,-0.012306,-0.050935,-0.21986,0.145063,-0.049226,-0.266023,0.160655
