gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Naxd	0.48	0.39	0.39	0.58	1.0	-14136.815	-13911.424	-14038.841	-14017.039	0.0	-52.018215	-9.612880651388608	0.7148465126804675	0.5935097443232612	6639
Zfp874b	0.33	0.15	0.15	0.5	1.0	-3230.1802	-3215.8477	-3228.1711	-3217.2224	0.0	-5.6274853	-12.06342069485919	2.1044040715431382	0.07831217593420346	876
Dnajb12	0.38	0.3299999999999999	0.3299999999999999	0.64	1.0	-7123.004	-7071.4233	-7108.8687	-7105.0845	0.0	-7.782311	-10.887056823430173	4.274236467764986	0.231181834435902	2586
Akap11	0.4399999999999999	0.4399999999999999	0.4399999999999999	0.55	1.0	-11700.767	-11644.537	-11692.525	-11647.546	0.0	-23.113457	-9.976519165765977	5.9609361462861346	0.4389415340604327	4910
Atp10a	0.23	0.26	0.23	0.57	1.0	-8513.475	-8393.894	-8485.271	-8426.934	0.0	-37.584286	-10.606006648078633	3.9730212294980265	0.2833005542642589	3169
Xlr3b	0.39	0.37	0.37	0.64	1.0	-1044.3594	-1035.9065	-1038.1738	-1042.6995	0.0	-0.72089064	-13.619103921061699	0.7359122422819411	0.0161809404612909	181
Tnks1bp1	0.47	0.31	0.31	0.35	1.0	-9639.868	-9593.357	-9656.514	-9585.808	0.0	-23.478197	-10.325107935505429	5.045692575973149	0.3377436080815305	3778
Csnk1g1	0.37	0.47	0.37	0.49	1.0	-7905.411	-7835.948	-7875.9272	-7863.264	0.0	-18.304197	-10.668430618429385	0.4988981180068297	0.2547827641694976	2850
Zscan20	0.47	0.36	0.36	0.48	1.0	-1249.583	-1245.192	-1248.9984	-1245.7499	0.0	-1.6647072	-13.327341345063614	4.7262269428147095	0.02351153227248346	263
Vapa	0.29	0.46	0.29	0.53	1.0	-20219.393	-20099.566	-20197.64	-20116.504	0.0	-44.683983	-8.640997996606906	0.5227144596844067	0.8677811550151976	9707
Rnf14	0.3	0.5	0.3	0.56	1.0	-10762.0625	-10712.477	-10721.587	-10752.216	0.0	-4.2763586	-10.141468092280618	6.166098394781469	0.4064902556767388	4547
Duxbl1	0.49	0.23	0.23	0.62	1.0	-35.61384	-35.496338	-35.913048	-35.02906	0.0	-0.2539658	-17.689391627156244	1.4241322474081768	0.00026819238333631326	3
Hdac1	0.41	0.47	0.41	0.49	1.0	-13393.94	-13353.086	-13378.766	-13375.432	0.0	-8.038265	-9.671469476588026	2.6745010687732518	0.552208117289469	6177
Lims2	0.3299999999999999	0.1999999999999999	0.1999999999999999	0.64	1.0	-24126.21	-23807.385	-24055.434	-23913.502	0.0	-92.378334	-8.269028508887144	5.63723882927323	0.9130162703379224	10213
Slc38a1	0.2299999999999999	0.48	0.2299999999999999	0.59	1.0	-9115.901	-9051.926	-9069.123	-9097.017	0.0	-8.20155	-10.47977366560688	6.247236164367706	0.29268728768102986	3274
Cd80	0.24	0.19	0.19	0.61	1.0	-204.70818	-206.53975	-204.90396	-206.22014	0.89310527	0.65663713	-15.66015485399873	2.068026725427968	0.0024137314500268193	27
Pamr1	0.17	0.13	0.13	0.72	0.84	-8824.26	-8823.863	-8808.919	-8839.117	0.0	6.452496	-10.483468653416113	0.91210628207961	0.2856248882531736	3195
Cox4i2	0.28	0.38	0.28	0.55	1.0	-3898.9265	-3882.3894	-3897.3274	-3882.4448	0.0	-7.1579065	-11.801500905807002	2.5047698872838	0.08385481852315395	938
Cog7	0.4499999999999999	0.42	0.42	0.6	1.0	-6237.5024	-6198.3335	-6235.676	-6202.1436	0.0	-15.356169	-11.079690874768543	5.511602234076687	0.1939924906132666	2170
Arfip2	0.42	0.29	0.29	0.54	1.0	-8620.919	-8552.878	-8584.865	-8584.315	0.0	-15.896705	-10.588506627944007	1.8018718969796064	0.3015376363311282	3373
Map2k6	0.5	0.09	0.09	0.74	0.7799999999999999	-3822.6675	-3822.358	-3815.8726	-3830.041	0.0	3.2022855	-11.797297962076001	1.669189755620212	0.09833720722331486	1100
Gm49741	0.49	0.43	0.43	0.62	1.0	-882.73456	-877.39777	-881.4831	-878.94055	0.0	-1.647716	-13.80623249109589	2.2720149989111107	0.014750581083497229	165
Tfrc	0.31	0.42	0.31	0.41	1.0	-3435.6055	-3413.6606	-3431.6433	-3412.3804	0.0	-10.086532	-11.9592220691234	3.172657931934457	0.08251385660647238	923
Ripk2	0.4599999999999999	0.4399999999999999	0.4399999999999999	0.48	1.0	-4507.3813	-4504.546	-4519.919	-4495.3174	0.0	-5.239313	-11.5468109281153	5.37120606490527	0.12292150902914357	1375
Pigw	0.28	0.39	0.28	0.59	1.0	-1317.2625	-1309.3864	-1311.8317	-1315.8744	0.0	-0.6028274	-13.282697844046158	2.566828835024846	0.024763096728052922	277
Ints6l	0.35	0.32	0.32	0.59	1.0	-6924.8228	-6874.3374	-6910.802	-6889.661	0.0	-15.270498	-10.944528196358707	2.5103146919274395	0.20919005900232435	2340
Ykt6	0.49	0.48	0.48	0.53	1.0	-7749.3643	-7705.1553	-7738.728	-7722.1875	0.0	-11.802716	-10.723292667687861	4.047465281643822	0.26264974074736275	2938
Fn1	0.43	0.4499999999999999	0.43	0.36	1.0	-46220.32	-45601.145	-46240.445	-45656.74	0.0	-244.76056	-7.065150963597081	4.307194181432262	0.9460933309494011	10583
Hand1	0.26	0.49	0.26	0.6	1.0	-33.026463	-33.539467	-32.993416	-33.474815	1.0	0.19471715	-17.649971061535584	2.969059013323175	0.00035758984444841767	4
Scaf8	0.43	0.2299999999999999	0.2299999999999999	0.5	1.0	-7954.604	-7931.384	-7982.0444	-7916.9346	0.0	-16.359627	-10.674306962050226	4.84943882692061	0.2665832290362954	2982
Taf1a	0.4599999999999999	0.41	0.41	0.61	1.0	-7469.9897	-7397.2764	-7441.547	-7430.126	0.0	-17.312614	-10.816536470122951	5.364549510345657	0.2425353119971393	2713
Nptx1	0.31	0.41	0.31	0.4	1.0	-135.1898	-133.83664	-134.9694	-132.89748	0.0	-0.9955453	-16.232385145875615	3.6540528311142007	0.0016091543000178795	18
Npc2	0.4	0.35	0.35	0.5	1.0	-18182.941	-17986.016	-18170.203	-18001.793	0.0	-78.67177	-9.013815624270196	1.3391005398103273	0.7806186304308957	8732
Slc25a24	0.47	0.39	0.39	0.48	1.0	-6719.5312	-6678.405	-6696.2266	-6704.971	0.0	-6.323353	-10.950700780348141	4.629874192929579	0.20489898086894331	2292
Espl1	0.13	0.47	0.13	0.51	1.0	-322.37463	-320.26675	-323.70026	-319.33356	0.0	-1.3207228	-15.233378710926356	2.9858567484059573	0.004201680672268907	47
Obsl1	0.47	0.24	0.24	0.54	1.0	-5417.4697	-5399.3467	-5397.4443	-5425.002	0.0	3.2712045	-11.325761969848205	4.849538707383277	0.1539424280350438	1722
Gm50070	0.27	0.37	0.27	0.46	1.0	-112.919266	-111.74557	-113.45919	-111.304565	0.0	-0.70125544	-16.275541786018437	5.726300836684622	0.0013409619166815663	15
Pcyox1l	0.17	0.48	0.17	0.51	1.0	-6769.6733	-6718.133	-6759.9336	-6726.343	0.0	-18.818226	-10.941883081855448	0.24017653958506457	0.210620418380118	2356
Zfp296	0.1099999999999999	0.38	0.1099999999999999	0.61	1.0	-290.43683	-288.5932	-290.3238	-288.54102	0.0	-0.82334113	-15.298374780944062	6.244804343901728	0.003933488288932595	44
Slc52a3	0.4499999999999999	0.06	0.06	0.72	0.84	-34.317665	-36.62249	-34.061806	-36.648743	1.0	1.0123742	-17.711712206861353	1.4882879983090174	0.00035758984444841767	4
Klhl30	0.04	0.37	0.04	0.84	0.4800000000000001	-5950.8545	-5950.3945	-5925.851	-5977.193	0.0	11.438613	-11.190251498842485	0.13832906489313324	0.17504022885750045	1958
Gnb1	0.32	0.5	0.32	0.65	1.0	-19169.553	-19068.188	-19167.785	-19065.39	0.0	-45.23703	-8.804366601840616	3.7892563643344515	0.8167352047201859	9136
Mzb1	0.38	0.29	0.29	0.63	1.0	-19.926525	-19.887892	-19.942719	-19.842148	0.0	-0.03664459	-18.230980041617443	2.2632733627672543	0.00017879492222420883	2
Glud1	0.24	0.33	0.24	0.59	1.0	-17536.598	-17524.49	-17533.582	-17507.879	0.0	-12.472395	-9.056439404058775	2.6480512999647186	0.7202753441802253	8057
Pop1	0.47	0.3299999999999999	0.3299999999999999	0.45	1.0	-2136.018	-2128.561	-2137.5105	-2127.3325	0.0	-3.772085	-12.609517920902046	5.097930604044757	0.04487752547827642	502
Mettl7a2	0.26	0.37	0.26	0.58	1.0	-44.541706	-44.240265	-44.863426	-44.086445	0.0	-0.19771744	-17.465292080034267	2.8082394399566817	0.00044698730556052207	5
2900072N19Rik	0.34	0.41	0.34	0.58	1.0	-104.74989	-102.53664	-104.23867	-102.728714	0.0	-0.87778693	-16.473327421282725	3.6196214095979817	0.001072769533345253	12
2310009A05Rik	0.38	0.2199999999999999	0.2199999999999999	0.68	0.9599999999999996	-10205.903	-10136.459	-10171.588	-10147.49	0.0	-25.36848	-10.292303507166848	4.657344246631471	0.37296620775969963	4172
Gm9885	0.04	0.24	0.04	0.82	0.54	-6709.1523	-6667.7173	-6652.733	-6724.8022	0.0	6.796666	-11.034576693394694	0.29368159590563536	0.1959592347577329	2192
Lactb	0.47	0.46	0.46	0.49	1.0	-5970.55	-5955.733	-5964.999	-5962.211	0.0	-3.6215239	-11.153348585348901	3.2348098470544926	0.1740568567852673	1947
Mettl6	0.32	0.4599999999999999	0.32	0.59	1.0	-6341.683	-6275.879	-6317.528	-6297.2583	0.0	-19.293447	-11.066465773213991	3.2235870400330695	0.19712140175219023	2205
