gene,acrophase_aligned_h,acrophase_misaligned_h
Tle1,12.673405931518609,13.172975669148858
Tmem108,23.16822993424609,0.87469132610623
Tmem136,0.6515348445188595,2.6444239875437425
Tmem200b,17.077678728915572,19.221544666435925
Tmem82,0.7593635799900205,4.552806288904566
Tmtc1,15.91639044535027,18.480022340188455
Tnfrsf21,11.598682559693009,15.004321067861415
Tob2,10.492579631049935,11.67049186948131
Tppp3,8.573927140951124,9.064813721810877
Trp53inp1,11.155554507383705,10.610400563870423
Tsc22d3,13.481055757323865,15.942653487293025
Tspan4,13.367698645709961,17.301840551280815
Tspan9,1.3590834661207063,5.365440558775063
Tub,0.983303211879244,6.824937200547353
Txnip,11.009486428602601,7.9777382917345285
Unc5d,7.442609040729931,7.820098583381098
Usp53,12.74073449844914,13.731289611194716
Ust,15.093066882043255,16.092216631917402
Vgll4,3.3842858727943765,5.975950082551415
Vps13a,17.030763720706787,19.484816568647133
Wee1,13.135496054454844,16.25579088088958
Wnt16,1.0781966869912913,3.522449707468322
Wnt5a,13.784055687252295,17.489097252311836
Wtip,19.512835175659266,18.348650512157068
Ypel2,0.5082173088062591,2.8112132008111024
Ythdf2,14.300404866107161,16.39075231148534
Zdhhc23,13.013332366657686,15.235259179673047
