gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
Clock,0.02,0.0042,135.42,-9.9759
Cmbl,7.39,1.9334,2.48,-13.2712
Cmklr1,9.29,2.431,5.94,-11.9049
Cmtm6,0.8,0.2091,32.29,-10.9599
Cmtm8,8.39,2.1968,2.2,-12.253
Cnn3,18.13,4.7472,229.87,-8.0949
Cnppd1,10.88,2.848,2.19,-10.8455
Cnrip1,8.67,2.2692,3.53,-11.493
Cntfr,16.9,4.4242,10.68,-13.4952
Cobll1,16.73,4.3789,23.76,-10.1894
Col27a1,15.79,4.1346,88.88,-11.0007
Col4a3,9.27,2.4264,12.21,-12.1929
Comp,21.1,5.5247,11.35,-11.4293
Coq10b,12.14,3.178,177.91,-9.341
Cped1,16.82,4.4039,210.46,-7.4284
Cracr2b,7.73,2.0234,28.32,-11.2313
Creb5,15.92,4.1673,2.67,-9.1882
Creg2,12.8,3.3507,30.45,-13.5121
Crim1,20.12,5.2676,32.09,-9.0934
Crip1,10.68,2.7952,348.72,-6.1438
Crtc1,0.58,0.1531,7.96,-11.9726
Cry2,12.84,3.3622,21.51,-10.8301
Crybg3,23.94,6.2686,141.61,-10.6699
Csf1,7.76,2.0308,4.56,-10.5162
Csnk1d,15.44,4.0414,10.84,-10.1311
Ctps,21.45,5.6154,96.15,-10.4284
Cx3cl1,6.63,1.7363,5.41,-13.0492
Cxcl12,9.99,2.6151,60.41,-9.844
Cyp1b1,21.22,5.5548,7.56,-11.2655
Cyp2j6,6.47,1.6939,2.52,-12.5621
Cyp51,18.63,4.878,200.71,-10.4041
Cys1,15.37,4.0239,617.95,-10.0177
D430019H16Rik,8.88,2.3246,2.21,-13.6829
D430040D24Rik,5.78,1.5123,2.68,-13.7428
Dapk1,2.17,0.5677,2.99,-12.2155
Dapk2,1.99,0.5206,72.86,-10.2597
Dbf4,14.58,3.8173,2.48,-13.6171
Dbp,9.88,2.5855,9488.21,-9.0314
Dcxr,8.06,2.1103,6.8,-10.7516
Ddit4l,4.98,1.3049,18.5,-12.3041
Ddx17,21.32,5.5812,88.67,-9.4453
Dennd4a,20.64,5.4036,2.56,-10.9175
Desi2,1.31,0.3422,28.2,-9.2629
Dgat2,11.42,2.9892,26.34,-13.5277
Dhcr24,16.6,4.3452,37.33,-11.3058
Dhrs9,0.35,0.091,2.97,-13.3206
Diras2,1.58,0.4126,8.35,-13.3108
Dmac2,9.5,2.4869,4.34,-11.5852
Dnaja1,20.55,5.381,342.44,-7.8892
Dnaja4,18.59,4.8676,50.22,-11.2566
Dnajb1,20.04,5.2474,93.37,-9.6029
Dnajb2,19.49,5.1013,36.02,-9.9107
Dnajb4,19.12,5.0065,709.29,-7.9537
Dnajc10,18.74,4.9058,38.03,-9.1001
Dnajc12,8.06,2.1113,4.45,-12.5798
Dock10,15.22,3.9835,42.3,-10.2733
Dock5,15.74,4.1203,37.97,-11.4461
Dock8,17.33,4.5363,56.02,-10.5257
Dpysl2,14.85,3.8881,11.19,-9.8258
Dst,19.84,5.193,133.4,-7.4564
Dusp14,10.61,2.7773,8.01,-11.8353
Dusp18,6.19,1.6197,2.99,-13.4105
Dusp8,18.48,4.8388,101.58,-9.5155
Dync2h1,18.37,4.8082,29.67,-10.9378
E030013I19Rik,20.32,5.3189,310.73,-8.7377
E130006D01Rik,1.3,0.3394,8.88,-12.2392
E130308A19Rik,20.51,5.3702,6.26,-12.5326
Echdc3,3.97,1.0406,14.3,-11.7967
Ect2l,11.84,3.099,53.99,-13.1801
Edn1,20.91,5.4749,23.47,-10.7792
Eepd1,10.77,2.8188,28.85,-12.7762
Efhc2,3.75,0.9823,4.0,-12.375
Efna5,15.91,4.1641,77.73,-9.6807
Efnb1,0.21,0.0549,5.94,-11.9968
Egln3,7.57,1.9813,15.07,-12.7028
Elmo1,14.92,3.9055,6.46,-11.6168
Eln,1.53,0.3993,3054.01,-6.6796
Eml2,2.67,0.6982,3.92,-9.8972
Eml4,20.76,5.4351,10.31,-11.19
Enah,18.59,4.8675,248.87,-7.8604
Enpep,4.88,1.2767,15.84,-11.4611
Enpp4,11.44,2.9958,10.87,-11.1987
Epas1,15.14,3.9634,2.76,-9.6634
Epb41,15.2,3.9787,350.95,-10.2026
Ephx1,11.72,3.0691,280.25,-9.3226
Ephx2,5.23,1.3701,6.98,-13.2535
Erf,10.19,2.6688,3.75,-10.9991
Erh,3.91,1.0226,34.37,-9.5978
Errfi1,23.62,6.1834,109.21,-9.129
Esyt1,15.46,4.0481,19.07,-9.8408
Etfbkmt,11.54,3.0218,49.51,-11.5378
Eva1a,5.01,1.3115,53.19,-11.8402
Eva1c,7.99,2.0905,10.65,-10.8245
Evc,16.06,4.2055,3.05,-11.153
Ext1,22.15,5.7985,137.16,-9.017
Ezr,14.4,3.7708,5.27,-12.8438
F3,7.64,1.9993,109.62,-10.7164
Fabp3,10.5,2.7496,219.61,-9.9303
Fabp5,3.86,1.0108,2.21,-10.7694
Faim2,16.94,4.4356,8.85,-12.9199
Fam107a,10.04,2.6275,113.42,-13.0539
Fam13a,11.21,2.9348,45.53,-11.5275
Fam13c,21.34,5.5862,169.89,-9.1368
Fam184b,0.52,0.1365,5.7,-13.0803
Fam47e,12.54,3.282,28.0,-13.4102
Fam76a,11.95,3.1285,20.84,-9.4676
Fam78b,3.64,0.9538,32.58,-12.3026
Farp1,10.73,2.8095,8.86,-12.9812
Fas,23.34,6.1097,67.21,-9.7335
Fat1,20.81,5.4482,91.91,-8.7681
Fbln5,1.53,0.4015,635.38,-7.4908
Fbxl22,5.55,1.4521,658.81,-8.0073
Fbxo32,6.73,1.7631,123.23,-8.8086
Fdps,16.62,4.3519,197.26,-9.4437
Fen1,9.43,2.4681,7.66,-13.3215
Fermt2,23.47,6.1445,84.47,-7.6105
Fez1,12.22,3.1988,22.95,-10.0202
Fgfr2,19.74,5.1667,131.93,-10.2558
Fggy,3.92,1.0256,2.14,-11.6956
Fibin,13.61,3.5638,692.61,-8.3016
Filip1l,17.23,4.511,671.86,-7.0105
Fkbp10,8.96,2.3462,39.9,-9.7832
Fkbp11,10.15,2.6584,7.26,-11.4389
Fkbp4,19.69,5.1546,72.74,-9.0681
Fkbp5,10.36,2.7135,422.8,-11.3733
Fmo1,15.08,3.948,52.11,-11.8108
Fmo2,17.53,4.5906,5240.13,-6.9861
Fmo3,14.4,3.7693,358.36,-9.8168
Fosl2,18.79,4.9186,48.62,-10.119
Foxf1,5.96,1.5608,8.95,-12.1038
Foxp1,18.9,4.9486,171.74,-8.279
Foxs1,23.85,6.244,213.63,-11.284
Frmd8os,4.75,1.2447,10.9,-13.2653
Frzb,10.33,2.7039,2.1,-10.8388
Fstl3,18.89,4.9459,12.67,-9.0888
Fubp1,21.74,5.6916,3.17,-9.9241
Fuz,8.67,2.2693,7.48,-10.5855
Fxyd5,10.68,2.7962,97.04,-10.0667
Fzd4,12.59,3.2956,126.17,-10.5597
Fzd8,21.77,5.6995,84.14,-10.0521
G2e3,13.14,3.439,12.29,-11.0747
Gabra3,19.71,5.1593,5.02,-9.9708
Gabre,13.5,3.5338,51.18,-11.369
Gabrq,14.87,3.8938,43.59,-13.6446
Gadd45a,6.36,1.6656,7.37,-11.7644
Gal3st3,1.89,0.496,9.78,-11.8202
Galnt6,6.15,1.6101,37.46,-13.0232
Galt,9.11,2.3839,5.73,-10.84
Gas2l3,3.8,0.9958,3.99,-13.0131
Gba,18.77,4.9136,2.53,-12.1719
Gfod1,21.27,5.568,42.73,-11.7798
Ghr,2.4,0.6285,217.65,-9.6553
Gk,0.24,0.0627,48.04,-10.5892
Gldn,10.25,2.6824,14.96,-10.6831
Glt8d2,17.58,4.6036,28.84,-13.4244
Glul,11.82,3.0937,367.44,-9.856
Gm10069,22.15,5.8,8.55,-13.1781
Gm10432,7.64,1.9989,4.25,-13.8111
Gm10687,3.48,0.9102,12.29,-11.3363
Gm11627,2.51,0.6566,11.24,-9.6191
Gm11827,10.08,2.6379,4.6,-13.3358
Gm11946,13.33,3.4907,6.39,-12.9638
Gm12122,20.65,5.4052,6.24,-12.8784
Gm12840,16.51,4.3235,25.85,-11.0948
