gene	log_min	log_max
Syngr2	-11.265586	-7.811708
4632404H12Rik	-15.1969185	-11.74304
Zfp579	-13.586223	-10.132344
Dancr	-13.0646515	-9.610773
Arl16	-12.587958	-9.13408
Cds2	-11.204794	-7.750916
2310010J17Rik	-13.355071	-9.901193
Ano8	-13.79039	-10.336512
A230020J21Rik	-18.879526	-15.425649
1700023F06Rik	-19.16721	-15.713332
Endog	-12.17726	-8.723382
Bnipl	-17.780914	-14.327037
Gm12522	-19.572674	-16.118797
Srp14	-10.289177	-6.835299
Ncoa4	-11.78322	-8.329342
Rpusd2	-15.413792	-11.959913
Gm26916	-20.265821	-16.811945
Gm29488	-15.602384	-12.148505
Mei4	-16.353798	-12.89992
Fam8a1	-11.724132	-8.270253
Srrd	-13.231435	-9.777556
Oit3	-17.780914	-14.327037
Epha3	-11.631913	-8.178035
Rpa2	-13.153495	-9.699616
Uevld	-13.158397	-9.704518
Slc26a6	-14.297114	-10.843236
Gm47112	-17.867926	-14.414048
Atf6	-12.05842	-8.604542
Canx	-10.189853	-6.735975
Cep112it	-15.547323	-12.093445
Kifc1	-17.321383	-13.867505
Spred1	-12.109025	-8.655147
Rpl21	-8.1144905	-4.660613
BC049715	-17.17478	-13.7209015
Aprt	-11.1817255	-7.7278476
Gm45605	-15.470032	-12.016153
Rbmxl1	-12.188375	-8.734497
Pcdh10	-16.969984	-13.516107
Gosr2	-12.829205	-9.375326
Nr1d2	-11.415304	-7.9614263
Platr23	-17.432608	-13.97873
Eif4g2	-9.06119	-5.6073117
Slc48a1	-10.780961	-7.327083
Btg3	-11.278251	-7.824373
Stap1	-17.27009	-13.816212
Ifit1	-17.557772	-14.103893
Hagh	-11.3597	-7.9058223
Mrpl2	-11.9453745	-8.491496
Nnat	-17.37545	-13.921572
Fam184b	-14.987708	-11.53383
AA465934	-16.061129	-12.607251
Gm16045	-16.831835	-13.377956
Gm3448	-15.309996	-11.856117
Nudt10	-14.909236	-11.455358
Mycbpap	-18.068596	-14.614718
Ereg	-13.561408	-10.10753
Amz2	-12.511341	-9.057463
Gpc1	-13.467882	-10.014004
Robo2	-20.265821	-16.811945
Sp2	-12.999694	-9.545815
Mcc	-14.31518	-10.861301
Tcp11	-18.068596	-14.614718
Card6	-14.827743	-11.373864
Gm9747	-17.493233	-14.039355
Trim30a	-16.898525	-13.444648
Marcks	-13.218305	-9.764426
1700016F12Rik	-18.068596	-14.614718
Ctnna1	-10.278177	-6.8242993
Pnrc2	-11.764352	-8.310473
4930505N22Rik	-17.867926	-14.414048
Jade3	-14.810501	-11.356623
0610010F05Rik	-12.538287	-9.084409
Gprc5d	-19.16721	-15.713332
A630089N07Rik	-13.781187	-10.327309
1110038B12Rik	-13.011644	-9.557766
Mmp24	-19.16721	-15.713332
Gm12195	-20.265821	-16.811945
Teddm2	-15.592994	-12.139115
Ppp1r16b	-20.265821	-16.811945
4930404I05Rik	-19.16721	-15.713332
Mc5r	-16.481632	-13.027754
Gm11715	-19.572674	-16.118797
