tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
IKZF1 (human),33,Eml2;Tmem82;Nanos1;Apex1;Hr;Tnfrsf1a;Tspan15;Rsad1;Ctps;Grap;Actr3b;Capn3;Gpcpd1;Samhd1;Spata24;Wsb1;Gtf2ird1;Slc6a6;Prr13;Tesc;Itga10;Mamstr;Cacnb2;Fam107a;Rhobtb1;Rnf24;Tulp1;Ifit3;Krt18;Cx3cl1;Gas2l3;Pdzd2;Pik3ip1,2.545454545454546,4,7.140421246255077,5.379340554415597,9.0
FOXO3A (mouse),24,Wsb1;Vps37b;Trim2;Atad2;Tap2;Foxp1;Pdcd4;Odc1;Ogn;Zfp872;Dusp18;Dnajb2;Rangap1;Tulp1;Capg;Enpp4;Capn3;Slit2;Arid5a;Chchd10;Lox;Zfhx4;Hebp2;Lama4,2.5000000000000004,3,13.535868488957668,8.801856975855372,7.0
CACYBP (human),64,Haghl;Ngef;Fxyd5;Cdkl5;Fabp3;Cdc25b;Cxcl12;Slc25a34;Rasl11a;Ntf3;Kcnd3;Mob2;Tnfrsf25;Kdelr3;Mfsd10;Ppp1r1b;Cend1;Ifi30;Tspan4;Sync;Rrad;Sec14l1;Fkbp11;Fkbp10;Mmgt1;Klhl26;Mpg;Nxph3;Ndrg2;Pak6;Lynx1;Chchd10;Nrtn;Prodh;Mknk2;Trib1;Hspa1l;Gtf2ird1;Asb2;Cyp1b1;Nr1d1;Col4a3;Gpr146;Phf2;Adamtsl5;Fkbp5;Metrnl;Mamstr;Ccdc42;Phactr3;Banp;Faim2;Steap3;Ephx1;Nr4a2;Sh3kbp1;Sel1l3;Nr4a1;Pycr1;Nap1l5;Hspb7;Ssbp4;Thra;Ccdc28b,2.4375,4,8.958616151766705,6.436652659941254,9.0
REL (human),15,Stard3;Arntl;Ppargc1b;Nr1d1;Grap;Trpm3;Rrad;Fstl3;Smpd1;Cachd1;Foxp1;Mob2;Nrtn;Lamc2;Scarb2,2.4000000000000004,7,19.504654753810392,8.432955890001864,15.0
SRY (human),20,Cyp1b1;Hbp1;Cmklr1;Mamdc2;Pim1;Efhc2;Sgcd;Mgp;Alpk1;Capg;Rai14;Itprip;Nrk;Rcl1;Cobll1;Ect2l;Ndufs3;Hspb7;Cnrip1;Spry1,2.4000000000000004,4,11.874062411962273,5.696942576900288,9.0
HIVEP1 (human),10,Nox4;Tsc22d1;Mapre2;Odc1;Stk24;Gstt1;Mark1;Mknk2;Phactr3;Nrgn,2.4000000000000004,4,13.523034942417915,4.743599881231182,9.0
PPARA (human),10,Slc50a1;Slc43a3;Comp;Creb5;Hmgcs2;Gal3st3;Palld;Asph;Ldb3;Sgcd,2.4000000000000004,7,16.600866628653204,6.229868363621444,15.0
MZF1 5-13 (human),10,Asrgl1;Lats2;Mybpc2;Arhgef2;Cited2;Cdc25b;Odc1;Ppp1r14c;Dapk1;Thbs1,2.4000000000000004,3,23.210427221151058,7.542848005944659,7.0
MYC (human),66,Haghl;Upb1;Eml4;Ngef;Tesk1;Hes1;Klf15;Pdgfb;Bhlhe40;Bhlhe41;Egln3;Dgat2;Fabp3;Apex1;Tmem51;Slc16a1;Bik;Hsp90b1;Pcyt2;Amdhd2;Me3;Unc5b;Unc5d;Ppp1r13l;Actn2;Epas1;Epb41;Ppp1r3b;Ppp1r1b;Sugp2;Il16;Agtrap;Ccdc107;Per3;Per1;Tcap;Fkbp11;Stbd1;Otud1;Cd81;Klhl30;Creb5;Afap1;Slc50a1;Tef;Asb2;Bach2;Mthfr;Nr1d1;Nr1d2;Tmem229b;Angptl2;Ankrd23;Tle6;Fkbp5;Ankrd37;Gal3st3;Dnaja1;Asph;Hdac4;Slc24a4;Stxbp2;Fam184b;Dcxr;Wee1;Ssbp4,2.3636363636363638,5,10.19155321417061,6.617905654980481,11.0
FOXF1 (human),56,Fez1;Pkia;Tmem98;Hsph1;Mecom;Lars2;Slc25a33;Rsad1;Cela1;Alpk1;Epb41;Ppp1r3b;Chordc1;Enah;Ufc1;Tor1aip2;Il33;Myo9b;Gba;Filip1l;Arhgef19;Rbm28;Lama4;Wsb1;Prelid2;Sytl5;Hnrnpl;Tef;Enpep;Trim2;Fmo2;Impa2;Igfbp2;Ppef1;Lsm6;Cacnb2;Rcan2;N6amt1;C1qtnf7;Gal3st3;Rangap1;Tulp1;Spats2l;Ezr;Trpm3;Krt18;Ahctf1;Fas;Elmo1;Gas2l3;Arid5b;Idi1;Hebp2;Plaur;Usp10;Six4,2.357142857142857,8,18.517971096079613,7.543201560450407,17.0
