gene,acrophase_aligned_h,acrophase_misaligned_h
Fbln5,1.533677010068618,13.386037925052747
Fbxl22,5.5468008260012525,7.871469893470119
Fbxo32,6.734636462394306,9.808437501076849
Fermt2,23.470331621646668,2.823703215640103
Fez1,12.218537491836376,16.48246150778502
Fgfr2,19.73529768179027,0.47806523160738285
Fibin,13.61256959378964,15.198708640436152
Filip1l,17.230832148208563,14.932166509962371
Fkbp5,10.364827132181109,14.451034362058124
Fmo1,15.080428779398218,17.076915388516525
Fmo2,17.53480550502021,20.043806928072435
Fmo3,14.397599637420821,15.182478839986423
Fosl2,18.787795044235256,15.042044487630204
Foxs1,23.850384872038767,2.5114866556626416
Frzb,10.328051168822846,16.099102113207845
Fzd4,12.588200779054159,16.139191950116953
Gabre,13.498027804996312,15.209950579487057
Gabrq,14.873273666525558,18.49030037291582
Galnt6,6.150031947398835,6.8946020649513535
Ghr,2.4005941575638587,12.506824364415447
Gk,0.2395692797989074,4.919504107513974
Glt8d2,17.584564688234536,21.092659689855964
Glul,11.816901819115069,15.463963203617315
Gm10687,3.4768363066452954,4.556153971522207
Gm13483,18.152429699120443,1.113168565593472
Gm13861,14.692596311222768,20.16515616526474
Gm13889,4.716938362365442,4.996540772267499
Gm15417,7.229624245126324,10.504228759197355
Gm19689,1.1316681540098068,2.994011263049135
Gm3336,19.90806768926993,0.27559432146015667
Gm41724,1.6836282325251197,4.2173536050193405
Gm47664,14.884308240888199,16.161716075387588
Gm4876,3.379039325265847,6.042358391602705
Gm9885,1.6539570734224245,2.3639645924737964
Gpcpd1,8.960402639868018,11.844275366532328
Gramd4,0.025788653713395865,4.538300544935973
Grem2,1.4921868144790227,14.877441357391536
Grip2,22.296301446870274,1.2857994424124444
Gstt1,17.820497902010217,22.610046937901267
Gtf2ird1,1.31047957757906,3.8580020079313413
Hapln1,13.3078643200191,16.91212851752023
Hbb-bs,6.012067059907741,2.596373649119594
Hes6,6.213207840002216,8.127552786340917
Hk2,13.9961932835579,14.356292189111468
Hlf,12.515407053173206,15.630475549320238
Homer1,16.37154894491625,17.128455216811282
Hr,7.52538114430291,9.4480571507607
Hsp90aa1,20.182753537030997,16.187198149108053
Hspa1a,20.992730023565166,13.856105347810129
Hspa1b,20.989923923062225,13.728249935683621
Hspa1l,20.257605296097438,13.637065938038962
Hspa4l,19.17121982504634,19.654928766982867
Hspa8,20.37071552365459,16.74410520672648
Hspb7,10.662944776432514,13.125846092543041
Hsph1,20.76680599626137,18.847569821912
Htr2a,22.755709365439905,3.1909970724025474
Htra3,4.979810285653404,7.462120306376075
Ier5,23.677357607826565,2.6764634483533793
Ifit3,14.48497128736005,19.129606130428026
Ifit3b,14.746833696405336,19.009856692488267
Igf1,0.6763028858211003,14.20161428635479
Igfbp5,13.08145585616423,16.764949050484972
Ihh,23.32054999295665,2.708787625119011
Il33,13.795800463111233,17.412803986890516
Il6ra,2.74755946444777,12.408769983691784
Inpp5b,0.7609320863990039,4.467002110693066
Irs2,15.391137694451519,14.48135021044327
Itga10,2.3911113257851304,3.1321196798021322
Jam2,16.81363584093384,20.473246485540155
Jdp2,18.33482134621476,20.27792804700496
Kalrn,1.0495355569242995,4.25657950440561
Kank4,19.800450034863204,23.947031573886505
Kcna2,4.118277191888566,3.6130702448470338
Kcnk1,4.8153803306972724,12.334350159916514
Kcnq3,19.29358093207881,23.26596074854118
Kdelr3,7.551419430654809,6.84544555045291
Klf15,10.002078101673424,13.453273003672273
Klf9,10.57366156918803,12.969154000591057
Klhl29,10.937163004392783,16.14544848324878
Klhl30,0.6155855423501843,3.882359500221426
Klhl31,1.8381639073533202,9.82847423097856
Krt18,4.273684029008407,5.439741394201779
Ky,4.878040816264898,7.305473977855112
Lamc2,15.820371881559717,17.75600973473412
Lars2,21.252801456146464,22.66867192220829
Lasp1,23.403194116611502,2.1808274436563746
Leo1,23.68427398855967,2.638512276644386
Limch1,1.1311872897623876,5.279179206145685
Limd1,12.778460774744651,15.07258276881463
Lmcd1,23.838668696463408,2.4832709226284098
Lonrf1,14.738113072557447,16.304883676466233
Lox,23.274524066872157,2.900183789446131
Lpl,16.74537924587277,20.279384929580914
Lzts3,19.140641733282557,17.56698537806042
Maco1,15.288317589812257,17.861439514492837
Mamdc2,13.216717176410103,19.786676356150547
Mamstr,7.988944181882361,9.402041181188117
Map1a,22.564479394799807,3.8418873188197793
Map4k4,0.24285088878515879,3.2942399768074235
Mbd1,11.170361765144257,13.813589733858418
Mboat1,23.963555473588418,3.882613981336317
Me3,5.106930907410209,6.462080889975578
Mfap2,6.0167967147172625,4.402048909041035
Mgp,13.80586226821569,20.385931776010352
Milr1,14.25315136102769,20.633435792132794
Mirg,17.009533210203276,15.140197071043875
Mknk2,13.859316648181185,16.36109151769613
Mlf1,10.657865330350187,14.356271763589847
Mmp14,2.952582103470806,5.094077197270519
Mob2,0.30191909378675297,2.0681470721314072
Morc4,16.040001932693944,19.054289614006176
Mpp2,15.540661020499147,18.590255878429264
Mpv17l2,9.012176231263673,11.186810439378306
Mt1,10.782198864762435,14.806649707577428
Mt2,10.103669158752492,12.722786808789442
Mthfd1l,13.992371595595223,15.894060216627492
Mthfr,20.205050852777838,23.847227722109086
Mylk4,17.82466973056752,18.665745471413267
Myocd,19.269059470254643,17.198494093062063
Myoz2,15.879119661528168,15.14741742365517
Nanos1,12.29650327499569,16.684978233566305
Nav2,2.5195315634850948,7.709106724856245
