gene,wt_cross_sex_ll,ko_cross_sex_ll,is_wt_cycler
Arhgef2,-293.84880455172936,-270.68249112125767,False
Arhgef25,-255.6200379703397,-266.64467151407,False
Arhgef7,-286.65660857568025,-275.0880166218594,False
Arid1a,-289.86286786317027,-271.428925926332,False
Arid1b,-281.39370371490963,-272.4326788344805,False
Arid2,-283.9739142121232,-298.6762728093889,False
Arid4a,-279.6481261324675,-265.40954661069037,False
Arid4b,-259.4700748653504,-256.0551385591707,False
Arid5a,-372.0570497596896,-266.9334503773829,True
Arid5b,-308.06397491126705,-278.41040411169854,True
Arih1,-288.4260379958664,-288.3435572652188,False
Arl1,-285.20873596515145,-246.91050887916384,False
Arl13b,-231.60709768029568,-240.63796898685,False
Arl2,-266.5819844379406,-266.17403771523595,False
Arl2bp,-255.14273106920473,-260.28627150008685,False
Arl3,-258.6177658528562,-246.79234333908107,False
Arl4a,-262.5886761827244,-278.40978800962046,False
Arl5a,-295.59470457372464,-290.3235268413312,False
Arl6ip1,-267.8534711042873,-265.5036850858942,False
Arl6ip4,-248.16775967546653,-247.86896609865843,False
Arl6ip5,-294.64128544545156,-246.53362431552029,False
Arl8a,-265.6646769608667,-255.76727649855115,False
Arl8b,-251.84853718313002,-249.704451518283,False
Armc1,-246.54281082061846,-248.59227930502985,False
Armcx2,-276.34715148233886,-300.743876656971,False
Armcx3,-242.79018856192266,-255.48745440693952,False
Arpc1a,-261.4422228015831,-263.8813620684054,False
Arpc1b,-291.1354057758117,-266.6591193904209,False
Arpc2,-254.04020565644043,-245.02306679496022,False
Arpc3,-269.16413801052397,-252.8920537737949,False
Arpc4,-282.71189148142395,-244.16611289990095,False
Arpc5,-259.81603636817863,-323.6644529984776,False
Arpc5l,-285.11031468328554,-254.32647112235122,False
Arpp19,-243.85905873357547,-239.69086147217527,False
Arrdc3,-312.9849664500977,-323.42629083013617,True
Art3,-291.07639322649806,-258.1687742624366,True
Asah1,-257.7071073583421,-274.07991260517775,False
Asap1,-283.4974041473046,-266.3955080166381,False
Asap2,-256.15285167606885,-262.54517873235545,False
Asb2,-307.914672726242,-292.43870484435206,True
Ascc3,-252.20254729475016,-253.83538915730213,False
Asf1a,-251.77259445382697,-261.2398401728823,False
Ash1l,-299.0633382705061,-272.99380077212396,False
Asna1,-274.16503611842245,-283.88204755709097,False
Asph,-274.35268279990544,-267.29291691658284,False
Atad1,-258.7059250382613,-258.05123601327807,False
Ate1,-255.6790165688238,-250.55463780497325,False
Atf1,-272.6417484971653,-254.18459231290103,False
Atf2,-268.42285305464424,-259.79723912335186,False
Atf3,-440.8972397942046,-453.4419694799699,True
Atf4,-258.7834830089404,-269.3515024476454,False
Atf5,-310.40844933314384,-270.0206039917234,False
Atf7,-274.7822297102958,-282.6031871890675,False
Atf7ip,-275.84311859702973,-280.0623051238319,False
Atg101,-254.7821484939265,-267.81498416943407,False
Atg12,-267.3909271253855,-256.7655757888252,False
Atg3,-250.3000966293693,-262.6189166956089,False
Atg5,-269.5174907267093,-260.9839646256112,False
Atic,-254.6692628883871,-262.4008432499565,False
Atl3,-261.41450563866744,-246.44074492436596,False
