gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
C330013E15Rik	0.49	0.23	0.23	0.67	0.9899999999999998	-616.8026	-607.4307	-612.3867	-612.15985	0.0	-2.0163255	-12.822136711893712	1.808631323903544	0.046031746031746035	145
Nos1ap	0.48	0.27	0.27	0.69	0.93	-2482.8076	-2447.4097	-2470.63	-2459.7546	0.0	-10.011782	-10.689931780991522	1.316878191815956	0.29428571428571426	927
Cwc27	0.39	0.36	0.36	0.52	1.0	-2363.9272	-2337.021	-2353.3704	-2348.688	0.0	-6.6183257	-10.76571367682029	0.8836661933276329	0.2796825396825397	881
Slu7	0.46	0.35	0.35	0.56	1.0	-3391.4863	-3359.6597	-3377.9504	-3377.3828	0.0	-6.125079	-10.10875514829637	4.744113618293712	0.45396825396825397	1430
Tpm4	0.38	0.36	0.36	0.49	1.0	-6418.3677	-6294.8057	-6415.1436	-6302.228	0.0	-50.43881	-8.646037762211078	3.8685467821347954	0.8638095238095238	2721
1700069B07Rik	0.41	0.29	0.29	0.56	1.0	-16.33369	-16.303291	-16.05251	-16.475513	0.0	0.061592866	-17.23957015635773	1.754587065704258	0.0006349206349206349	2
Ltb4r2	0.47	0.36	0.36	0.61	1.0	-58.338543	-55.921173	-57.509655	-56.52187	0.0	-0.7889712	-15.844700943799893	5.301665528047891	0.0025396825396825397	8
Kirrel	0.48	0.28	0.28	0.51	1.0	-1844.6432	-1829.7625	-1845.6145	-1828.0963	0.0	-7.1862164	-11.179631618352722	4.854661716625641	0.2003174603174603	631
Atp1b2	0.38	0.4	0.38	0.56	1.0	-3917.27	-3901.0195	-3909.4563	-3911.6128	0.0	-2.4569023	-9.824630239849325	2.851671472206823	0.5285714285714286	1665
Tbl3	0.42	0.37	0.37	0.65	1.0	-1651.9133	-1630.5736	-1640.5289	-1643.2719	0.0	-3.7529469	-11.337476807166427	1.2731629692865116	0.1784126984126984	562
Slc41a1	0.14	0.29	0.14	0.71	0.87	-1843.5834	-1850.9944	-1848.1768	-1846.1345	0.3801947	1.1079493	-11.222237159642887	2.717078305144564	0.20761904761904762	654
F830208F22Rik	0.0999999999999999	0.18	0.0999999999999999	0.8	0.5999999999999999	-30.8293	-30.545597	-30.107294	-30.95662	0.0	0.055294085	-16.453540989209543	5.644547835280903	0.0012698412698412698	4
Tbc1d5	0.3399999999999999	0.5	0.3399999999999999	0.65	1.0	-1684.176	-1680.3508	-1683.5764	-1680.5934	0.0	-1.5559214	-11.298998165243868	6.278967890424186	0.17777777777777778	560
Eci2	0.49	0.39	0.39	0.59	1.0	-3976.9253	-3901.5903	-3966.034	-3908.2637	0.0	-29.819363	-9.773293950093493	2.171722893850742	0.5834920634920635	1838
Plxna4os1	0.4499999999999999	0.26	0.26	0.6	1.0	-109.24642	-106.41054	-108.6817	-106.5847	0.0	-1.1559705	-15.150857363064326	4.720589347633609	0.005396825396825397	17
Mtpn	0.39	0.44	0.39	0.65	1.0	-5361.1675	-5289.9116	-5351.586	-5312.6826	0.0	-21.056707	-9.054144006004062	4.0178464520875705	0.7819047619047619	2463
Rhof	0.1899999999999999	0.15	0.15	0.72	0.84	-105.88393	-108.00868	-104.69364	-108.10625	1.0	0.96514153	-15.095100060837742	1.014110362550646	0.005079365079365079	16
Ube3c	0.43	0.37	0.37	0.58	1.0	-2392.3962	-2356.979	-2390.752	-2359.927	0.0	-14.101211	-10.758458090041003	2.1228931213567375	0.2895238095238095	912
Gm40909	0.42	0.21	0.21	0.69	0.93	-44.36838	-43.420357	-43.928555	-43.823616	0.0	-0.23658864	-16.132976308585867	1.4487967103896846	0.0019047619047619048	6
Gm44386	0.5	0.31	0.31	0.53	1.0	-9.002184	-9.523039	-9.1210785	-9.44027	0.7717319	0.19025855	-17.827699047604796	1.3934955590866798	0.00031746031746031746	1
Gm10827	0.4499999999999999	0.42	0.42	0.45	1.0	-112.706604	-112.41012	-112.80094	-111.69724	0.0	-0.43836004	-15.054795257579903	4.800001636312522	0.005714285714285714	18
Ppp2r5d	0.41	0.34	0.34	0.64	1.0	-1779.9167	-1771.9512	-1777.043	-1773.8821	0.0	-2.620823	-11.221901579532396	2.3970645212104205	0.19904761904761906	627
Gm30648	0.46	0.36	0.36	0.53	1.0	-60.79647	-58.958687	-60.81181	-58.868664	0.0	-0.83723587	-15.681470759133546	1.958030292644505	0.002857142857142857	9
Tpm2	0.4399999999999999	0.47	0.4399999999999999	0.52	1.0	-15550.275	-15020.472	-15346.697	-15186.8	0.0	-157.85544	-5.160609418606482	6.224043758009578	0.9993650793650793	3148
Psma7	0.43	0.43	0.43	0.62	1.0	-6861.517	-6678.0054	-6781.8257	-6740.557	0.0	-52.53224	-8.25850812008304	1.494334768611683	0.9644444444444444	3038
Gm43728	0.35	0.31	0.31	0.47	1.0	-90.49265	-89.88008	-90.564186	-89.07915	0.0	-0.61387765	-15.304986597602273	2.695087785948115	0.0044444444444444444	14
4930453N24Rik	0.35	0.29	0.29	0.56	1.0	-3187.7185	-3153.7852	-3169.3862	-3172.1226	0.0	-6.773234	-10.245545668324723	3.580825755154784	0.4380952380952381	1380
Gm44672	0.43	0.24	0.24	0.59	1.0	-30.60794	-30.641804	-30.367329	-31.005157	1.0	0.17250906	-16.484318340183584	1.3416137203207654	0.0012698412698412698	4
Tenm1	0.5	0.35	0.35	0.56	1.0	-9.496488	-9.377726	-9.243929	-9.677595	0.0	0.078654	-17.922198760843283	5.093438003389439	0.00031746031746031746	1
Gcnt4	0.31	0.26	0.26	0.63	1.0	-160.84117	-159.79597	-159.07576	-161.38033	0.0	0.23415163	-14.54266013183457	5.523737923059008	0.007301587301587302	23
Arl2	0.36	0.5	0.36	0.52	1.0	-4132.103	-4086.1648	-4116.781	-4105.5884	0.0	-11.515165	-9.677197971697321	6.254190736106112	0.6123809523809524	1929
Steap4	0.46	0.3399999999999999	0.3399999999999999	0.46	1.0	-37.517235	-37.530785	-38.394764	-36.823437	0.0	-0.30131266	-16.322945977089198	4.175352131709916	0.0015873015873015873	5
Rasgef1b	0.14	0.29	0.14	0.68	0.9599999999999996	-62.378807	-61.360657	-61.30198	-62.01895	0.0	-0.15628332	-15.758291160558207	5.76844199729228	0.002857142857142857	9
Ccng2	0.4	0.29	0.29	0.54	1.0	-1294.0154	-1293.6237	-1294.7024	-1292.2229	0.0	-0.7784644	-11.736982101129467	0.7484339398337658	0.12095238095238095	381
Uvrag	0.42	0.42	0.42	0.51	1.0	-2805.8157	-2777.4634	-2796.2122	-2786.5444	0.0	-8.369393	-10.514645688304903	3.8533835779649994	0.35079365079365077	1105
Clk3	0.4	0.49	0.4	0.61	1.0	-2470.028	-2424.1968	-2446.4495	-2442.3489	0.0	-12.020924	-10.726348132790763	5.997301970897368	0.2920634920634921	920
F420014N23Rik	0.4499999999999999	0.39	0.39	0.57	1.0	-388.59863	-384.2462	-386.07574	-386.8408	0.0	-0.76342154	-13.408992838522126	5.842435061893896	0.025396825396825397	80
2410004I01Rik	0.12	0.29	0.12	0.49	1.0	-47.267673	-49.8531	-48.95965	-47.977825	0.3455723	0.30841494	-16.00681102650352	0.47877511521433114	0.0022222222222222222	7
Tcf23	0.41	0.14	0.14	0.72	0.84	-35.867165	-36.81828	-35.55674	-36.91007	1.0	0.4529274	-16.296244982967778	1.4512081458977768	0.0015873015873015873	5
Nfxl1	0.4399999999999999	0.47	0.4399999999999999	0.51	1.0	-1591.9541	-1564.4021	-1587.0045	-1568.7058	0.0	-10.096604	-11.433627255401795	0.37156819267065977	0.15746031746031747	496
Lpcat1	0.23	0.38	0.23	0.63	1.0	-1448.2429	-1425.5941	-1446.4924	-1429.2771	0.0	-8.236751	-11.573305390797156	2.3480844689603853	0.1438095238095238	453
