gene	log_min	log_max
Chpf	-11.52098	-8.0671015
Obsl1	-13.241644	-9.7877655
Tmem198	-14.870885	-11.4170065
Inha	-15.787175	-12.333297
Stk11ip	-14.283098	-10.82922
Slc4a3	-11.942361	-8.488482
Epha4	-12.9107895	-9.456911
Gm28386	-17.17347	-13.719591
Farsb	-12.64087	-9.186992
Mogat1	-17.17347	-13.719591
Acsl3	-12.57835	-9.124472
Utp14b	-13.38928	-9.935402
Kcne4	-12.329283	-8.875404
Ap1s3	-16.480322	-13.0264435
Wdfy1	-12.07972	-8.625841
Mrpl44	-12.829664	-9.375786
Serpine2	-8.364503	-4.910625
Cul3	-11.249214	-7.7953362
Dock10	-14.128947	-10.675069
Irs1	-12.369449	-8.91557
Rhbdd1	-12.953961	-9.500083
Col4a4	-13.261447	-9.807569
Col4a3	-13.954594	-10.500715
C430014B12Rik	-15.0940275	-11.640149
Mff	-11.217632	-7.7637544
Gm28941	-15.564032	-12.110153
Agfg1	-11.5105095	-8.056631
Slc19a3	-17.17347	-13.719591
Krtap28-13	-17.17347	-13.719591
Sphkap	-12.136517	-8.682638
Pid1	-11.479737	-8.025859
Trip12	-11.202208	-7.7483296
Fbxo36	-13.509908	-10.056029
Sp110	-13.241644	-9.7877655
Sp140	-13.184485	-9.730607
Sp100	-16.480322	-13.0264435
A630001G21Rik	-17.17347	-13.719591
Cab39	-10.97296	-7.5190825
Itm2c	-10.126822	-6.6729445
2810459M11Rik	-17.17347	-13.719591
Psmd1	-10.732523	-7.278645
Armc9	-13.535883	-10.082005
Ncl	-9.47001	-6.0161324
C130036L24Rik	-14.46542	-11.011541
Ptma	-8.196197	-4.7423186
Pde6d	-11.578758	-8.12488
Cops7b	-13.366807	-9.912929
Nppc	-17.17347	-13.719591
Dis3l2	-13.38928	-9.935402
Gm29055	-16.074858	-12.620979
Eif4e2	-11.563997	-8.110119
Efhd1	-11.713884	-8.260006
Gigyf2	-11.560342	-8.106463
Kcnj13	-15.787175	-12.333297
Snorc	-12.419879	-8.966001
Ngef	-12.804022	-9.350143
Neu2	-17.17347	-13.719591
Atg16l1	-12.651681	-9.197803
Sag	-14.976245	-11.522367
Dgkd	-12.321439	-8.86756
Usp40	-12.588502	-9.134624
Dnajb3	-16.480322	-13.0264435
Hjurp	-11.986084	-8.532206
Arl4c	-13.647109	-10.193231
Sh3bp4	-12.64087	-9.186992
Agap1	-12.345156	-8.891277
Ackr3	-11.735391	-8.281512
Gm28723	-17.17347	-13.719591
Cops8	-11.290147	-7.836269
Gm9991	-17.17347	-13.719591
Col6a3	-10.285917	-6.8320394
Rab17	-15.227559	-11.773681
Lrrfip1	-9.631256	-6.177378
Rbm44	-16.074858	-12.620979
Ramp1	-9.358665	-5.904788
Ube2f	-11.6013155	-8.147437
Scly	-13.5625515	-10.108673
Gm17090	-17.17347	-13.719591
Klhl30	-14.534412	-11.080534
Ilkap	-11.424076	-7.970198
Hes6	-12.791443	-9.337564
Per2	-12.110874	-8.656996
Traf3ip1	-12.76675	-9.312872
Asb1	-13.28165	-9.827771
Twist2	-14.870885	-11.4170065
Hdac4	-11.953114	-8.499235
Ndufa10	-11.152446	-7.698568
Cops9	-10.12248	-6.6686025
Otos	-15.787175	-12.333297
Gpc1	-12.630175	-9.176296
Ankmy1	-17.17347	-13.719591
Dusp28	-12.791443	-9.337564
5033417F24Rik	-15.564032	-12.110153
Rnpepl1	-12.031806	-8.577928
9430060I03Rik	-15.38171	-11.927832
Capn10	-13.484591	-10.030712
Kif1a	-11.53868	-8.084802
Sned1	-12.829664	-9.375786
Mterf4	-13.28165	-9.827771
Pask	-15.564032	-12.110153
Ppp1r7	-11.656016	-8.202138
Hdlbp	-10.074267	-6.6203895
Sept2	-12.77902	-9.325142
Farp2	-14.688563	-11.234685
Stk25	-11.582482	-8.128604
Bok	-13.203177	-9.749299
Thap4	-13.5625515	-10.108673
Atg4b	-12.437271	-8.983393
Dtymk	-11.386572	-7.932694
Ing5	-12.491339	-9.03746
D2hgdh	-13.707733	-10.253855
Gal3st2	-16.480322	-13.0264435
Gal3st2b	-16.074858	-12.620979
Gal3st2c	-15.564032	-12.110153
Fam174a	-11.035743	-7.581865
Gm28901	-17.17347	-13.719591
D1Ertd622e	-13.459897	-10.006019
Ppip5k2	-13.806173	-10.352295
Gin1	-12.76675	-9.312872
Pam	-8.596687	-5.14281
B230216N24Rik	-13.130418	-9.676539
1810006J02Rik	-16.074858	-12.620979
Rnf152	-15.227559	-11.773681
Pign	-13.841265	-10.387386
Gm28404	-16.480322	-13.0264435
Relch	-12.482121	-9.028243
Tnfrsf11a	-13.366807	-9.912929
Gm7160	-14.976245	-11.522367
Zcchc2	-13.241644	-9.7877655
Phlpp1	-12.842736	-9.388858
Bcl2	-11.194584	-7.740706
Kdsr	-11.926445	-8.472567
Vps4b	-11.233298	-7.7794204
Serpinb5	-16.480322	-13.0264435
Serpinb8	-13.28165	-9.827771
Cdh19	-15.564032	-12.110153
Dsel	-11.807493	-8.353615
Tsn	-10.498908	-7.04503
Nifk	-12.337188	-8.883309
Gm28867	-17.17347	-13.719591
Clasp1	-11.835932	-8.382053
2900060B14Rik	-14.037975	-10.584097
Tfcp2l1	-15.564032	-12.110153
Gli2	-12.896804	-9.442925
Gm26831	-16.480322	-13.0264435
Inhbb	-16.480322	-13.0264435
Ralb	-12.189863	-8.735985
Gm27184	-16.480322	-13.0264435
Tmem185b	-13.222226	-9.768348
Epb41l5	-13.4358	-9.981921
Ptpn4	-13.203177	-9.749299
Tmem177	-15.0940275	-11.640149
Tmem37	-17.17347	-13.719591
Dbi	-9.387333	-5.933455
3110009E18Rik	-13.509908	-10.056029
Steap3	-11.420897	-7.9670186
Insig2	-10.72142	-7.2675424
Ccdc93	-13.130418	-9.676539
Ddx18	-11.453157	-7.9992795
Dpp10	-15.0940275	-11.640149
Actr3	-10.361124	-6.907246
Slc35f5	-12.196735	-8.742857
Gpr39	-16.074858	-12.620979
Nckap5	-17.17347	-13.719591
Mgat5	-12.2247095	-8.770831
2900009J06Rik	-14.534412	-11.080534
Ccnt2	-12.067524	-8.613646
Map3k19	-15.564032	-12.110153
Rab3gap1	-11.632206	-8.178328
Zranb3	-14.229031	-10.775152
R3hdm1	-11.341587	-7.887709
Ubxn4	-10.435317	-6.981439
Mcm6	-12.149589	-8.69571
Dars	-11.826362	-8.372483
Thsd7b	-15.564032	-12.110153
Gm15675	-17.17347	-13.719591
Cd55	-12.869405	-9.415526
Gm16083	-16.480322	-13.0264435
Pfkfb2	-14.775575	-11.321696
Yod1	-12.630175	-9.176296
AA986860	-14.775575	-11.321696
Mapkapk2	-11.676301	-8.222423
Eif2d	-12.64087	-9.186992
Rassf5	-14.46542	-11.011541
Ikbke	-14.283098	-10.82922
Srgap2	-12.651681	-9.197803
Gm29488	-15.564032	-12.110153
Fam72a	-14.870885	-11.4170065
Slc41a1	-12.500641	-9.046762
Rab29	-13.184485	-9.730607
Nucks1	-10.514175	-7.0602975
Slc45a3	-14.6085205	-11.154642
Elk4	-12.260815	-8.806936
Mfsd4a	-13.772272	-10.318394
Cdk18	-16.480322	-13.0264435
Tmcc2	-13.806173	-10.352295
Dstyk	-12.092065	-8.638186
6030442K20Rik	-16.074858	-12.620979
Rbbp5	-13.484591	-10.030712
Tmem81	-14.976245	-11.522367
Nfasc	-14.46542	-11.011541
Lrrn2	-14.177737	-10.723859
Mdm4	-11.545849	-8.09197
Pik3c2b	-13.241644	-9.7877655
Ppp1r15b	-12.162834	-8.708956
Plekha6	-17.17347	-13.719591
Etnk2	-14.6085205	-11.154642
Sox13	-13.535883	-10.082005
Snrpe	-10.40268	-6.9488025
Zc3h11a	-13.954594	-10.500715
Gm38394	-14.534412	-11.080534
Lax1	-16.480322	-13.0264435
Atp2b4	-10.896826	-7.442948
Optc	-11.402028	-7.94815
Gm15851	-17.17347	-13.719591
Prelp	-10.849111	-7.3952327
Fmod	-13.459897	-10.006019
Btg2	-9.068766	-5.614888
Chil1	-17.17347	-13.719591
Mybph	-17.17347	-13.719591
Adora1	-14.976245	-11.522367
Ppfia4	-13.806173	-10.352295
Tmem183a	-12.149589	-8.69571
Cyb5r1	-12.369449	-8.91557
Adipor1	-11.123736	-7.6698585
Klhl12	-13.130418	-9.676539
Rabif	-12.696133	-9.242254
Kdm5b	-11.332828	-7.8789496
Syt2	-16.074858	-12.620979
Ppp1r12b	-10.153278	-6.6994004
Ube2t	-14.976245	-11.522367
Lgr6	-10.044172	-6.5902944
Arl8a	-11.731051	-8.277173
Gm15445	-16.480322	-13.0264435
Rnpep	-12.183037	-8.729158
Timm17a	-10.927362	-7.4734845
Lmod1	-8.647316	-5.1934385
Shisa4	-10.52968	-7.0758023
Ipo9	-12.500641	-9.046762
Gm28277	-17.17347	-13.719591
Nav1	-10.447236	-6.993358
Gm4793	-17.17347	-13.719591
Csrp1	-8.310419	-4.8565416
Phlda3	-11.531563	-8.077684
Tnnt2	-13.772272	-10.318394
Tmem9	-12.123613	-8.669735
Kif21b	-14.128947	-10.675069
Camsap2	-11.761824	-8.307945
9230116N13Rik	-14.976245	-11.522367
Ddx59	-13.739482	-10.285604
Kif14	-17.17347	-13.719591
Platr23	-17.17347	-13.719591
Zfp281	-11.4051485	-7.9512706
Gm19705	-13.148118	-9.69424
Gm4258	-14.229031	-10.775152
Gm26930	-16.074858	-12.620979
A430106G13Rik	-15.38171	-11.927832
Nek7	-10.942988	-7.4891105
2310009B15Rik	-12.183037	-8.729158
Dennd1b	-12.804022	-9.350143
Zbtb41	-12.104566	-8.650687
Aspm	-16.480322	-13.0264435
Cfh	-12.020178	-8.566299
Kcnt2	-15.0940275	-11.640149
Cdc73	-11.476376	-8.022497
B3galt2	-15.787175	-12.333297
Glrx2	-10.968912	-7.515034
Ro60	-11.486494	-8.032616
Uchl5	-12.28312	-8.829242
Gm29170	-15.787175	-12.333297
Rgs2	-12.353188	-8.899309
A230059L01Rik	-17.17347	-13.719591
Pla2g4a	-11.123736	-7.6698585
Ptgs2	-13.589951	-10.136072
Odr4	-11.254576	-7.800698
Tpr	-9.975286	-6.5214076
Prg4	-17.17347	-13.719591
Hmcn1	-15.227559	-11.773681
Gm10138	-15.564032	-12.110153
Ivns1abp	-13.095932	-9.642054
Swt1	-11.616641	-8.162763
Trmt1l	-12.53874	-9.084862
Rnf2	-12.598759	-9.14488
Fam129a	-10.073442	-6.6195645
2810414N06Rik	-16.074858	-12.620979
Edem3	-12.123613	-8.669735
1700025G04Rik	-13.222226	-9.768348
Tsen15	-12.491339	-9.03746
Colgalt2	-17.17347	-13.719591
Rgl1	-13.707733	-10.253855
Gm28792	-17.17347	-13.719591
Arpc5	-11.014374	-7.560496
Ncf2	-15.564032	-12.110153
Smg7	-12.253489	-8.79961
Gm28791	-14.534412	-11.080534
Nmnat2	-14.340256	-10.886377
Lamc2	-14.775575	-11.321696
Lamc1	-10.651377	-7.197499
Dhx9	-11.6013155	-8.147437
Rgs16	-17.17347	-13.719591
Rnasel	-17.17347	-13.719591
