gene,male_wt_bf,female_wt_bf,male_ko_bf,female_ko_bf,male_wt_frac_detected,female_wt_frac_detected,male_ko_frac_detected,female_ko_frac_detected
C130013H08Rik,0.34803995,-1.6484847,-6.160546,-2.2648044,0.0072463768115942,0.0090062111801242,0.0079710144927536,0.0101449275362318
C130036L24Rik,5.3111477,-1.6098372,-3.6919801,-3.3450534,0.0230848861283643,0.0254658385093167,0.0193581780538302,0.0229813664596273
C130046K22Rik,-1.9630262,-0.047527466,-1.2354159,-0.060091894,0.0020703933747412,0.0027950310559006,0.001863354037267,0.0024844720496894
C130050O18Rik,-0.8658322,0.42418858,0.76172507,2.2607024,0.0034161490683229,0.0021739130434782,0.0012422360248447,0.0022774327122153
C130071C03Rik,0.8250111,-0.021040116,-0.7698893,-0.25411156,0.0019668737060041,0.0015527950310559,0.0020703933747412,0.0016563146997929
C130074G19Rik,1.1162195,1.8700719,-0.9738492,-0.79166496,0.0036231884057971,0.0041407867494824,0.0079710144927536,0.0071428571428571
C1d,-22.126116,-9.78859,-54.643913,-44.443085,0.4184265010351967,0.3976190476190476,0.4324016563146998,0.4610766045548654
C1galt1,-14.892399,-37.802704,-23.972292,-66.9314,0.2738095238095238,0.2913043478260869,0.3033126293995859,0.3386128364389233
C1galt1c1,-2.4055843,-14.173735,-15.768198,-10.003617,0.1932712215320911,0.1929606625258799,0.2114906832298136,0.2364389233954451
C1qa,-3.0652168,-1.6383722,-5.248008,-6.1983447,0.005175983436853,0.00351966873706,0.0042443064182194,0.0033126293995859
C1qb,0.9290254,0.55779165,-1.0067977,-0.24330987,0.0048654244306418,0.00351966873706,0.0026915113871635,0.0036231884057971
C1qbp,-15.273254,-19.825289,-44.41594,-30.616488,0.377639751552795,0.394824016563147,0.3800207039337474,0.4052795031055901
C1qc,-2.7985938,5.9595675,-1.3035727,-0.46493682,0.0028985507246376,0.0016563146997929,0.0028985507246376,0.0023809523809523
C1ql3,-0.5766913,-0.5530005,-0.16344358,3.4257019,0.0028985507246376,0.00175983436853,0.0032091097308488,0.0037267080745341
