bf_threshold,Aligned,Misaligned,Unique aligned,Unique misaligned,Shared
4.2942942942942945,66,9,63,6,3
4.303803803803804,66,9,63,6,3
4.313313313313314,66,9,63,6,3
4.322822822822824,66,9,63,6,3
4.332332332332333,65,9,62,6,3
4.341841841841842,64,9,61,6,3
4.351351351351352,64,9,61,6,3
4.3608608608608606,63,9,60,6,3
4.37037037037037,63,9,60,6,3
4.37987987987988,62,9,59,6,3
4.38938938938939,62,9,59,6,3
4.398898898898899,62,9,59,6,3
4.408408408408409,62,9,59,6,3
4.417917917917919,62,9,59,6,3
4.427427427427428,62,9,59,6,3
4.436936936936937,62,9,59,6,3
4.446446446446447,62,9,59,6,3
4.4559559559559565,62,9,59,6,3
4.465465465465465,62,9,59,6,3
4.474974974974975,62,9,59,6,3
4.484484484484485,61,9,58,6,3
4.493993993993994,61,9,58,6,3
4.503503503503504,61,9,58,6,3
4.513013013013014,61,9,58,6,3
4.5225225225225225,61,9,58,6,3
4.532032032032032,61,9,58,6,3
4.541541541541542,61,9,58,6,3
4.551051051051052,61,9,58,6,3
4.560560560560561,61,9,58,6,3
4.57007007007007,61,9,58,6,3
4.57957957957958,60,8,57,5,3
4.589089089089089,59,8,56,5,3
4.598598598598599,59,8,56,5,3
4.608108108108109,59,8,56,5,3
4.617617617617618,59,8,56,5,3
4.627127127127127,58,8,55,5,3
4.636636636636637,58,8,55,5,3
4.646146146146147,58,8,55,5,3
4.655655655655656,58,8,55,5,3
4.665165165165165,58,8,55,5,3
4.674674674674675,57,8,54,5,3
4.6841841841841845,57,8,54,5,3
4.693693693693694,56,8,53,5,3
4.703203203203204,56,8,53,5,3
4.712712712712713,56,8,53,5,3
4.722222222222222,56,8,53,5,3
4.731731731731732,56,8,53,5,3
4.741241241241242,56,8,53,5,3
4.750750750750751,56,7,53,4,3
4.76026026026026,56,7,53,4,3
4.76976976976977,56,7,53,4,3
4.7792792792792795,56,7,53,4,3
4.788788788788789,55,7,52,4,3
4.798298298298299,53,7,50,4,3
4.807807807807809,52,7,49,4,3
4.817317317317317,52,7,49,4,3
4.826826826826827,52,7,49,4,3
4.836336336336337,52,7,49,4,3
4.845845845845846,52,7,49,4,3
4.855355355355356,52,6,49,3,3
4.864864864864865,52,6,49,3,3
4.874374374374375,52,6,49,3,3
4.883883883883884,52,6,49,3,3
4.893393393393394,52,6,49,3,3
4.902902902902904,52,6,49,3,3
4.912412412412412,52,6,49,3,3
4.921921921921922,52,6,49,3,3
4.931431431431432,52,6,49,3,3
4.9409409409409415,52,6,49,3,3
4.950450450450451,52,6,49,3,3
4.95995995995996,51,6,48,3,3
4.96946946946947,51,6,48,3,3
4.978978978978979,50,6,47,3,3
4.988488488488489,50,6,47,3,3
4.997997997997999,50,6,47,3,3
5.0075075075075075,50,6,47,3,3
5.017017017017017,50,6,47,3,3
5.026526526526527,49,6,46,3,3
5.036036036036037,49,6,46,3,3
5.045545545545546,49,6,46,3,3
5.055055055055055,49,6,46,3,3
5.064564564564565,48,6,45,3,3
5.074074074074074,48,6,45,3,3
5.083583583583584,48,6,45,3,3
5.093093093093094,47,6,44,3,3
5.102602602602603,47,6,44,3,3
5.112112112112112,46,6,43,3,3
5.121621621621622,46,6,43,3,3
5.131131131131132,45,6,42,3,3
5.140640640640641,45,6,42,3,3
5.15015015015015,45,6,42,3,3
5.15965965965966,45,6,42,3,3
5.1691691691691695,45,6,42,3,3
5.178678678678679,45,5,42,2,3
5.188188188188189,44,5,41,2,3
5.1976976976976985,44,5,41,2,3
5.207207207207207,44,5,41,2,3
5.216716716716717,43,5,40,2,3
5.226226226226227,43,5,40,2,3
5.235735735735736,43,5,40,2,3
5.245245245245246,41,5,38,2,3
5.254754754754755,41,5,38,2,3
5.2642642642642645,40,5,37,2,3
5.273773773773774,40,5,37,2,3
5.283283283283284,40,5,37,2,3
5.292792792792794,40,5,37,2,3
5.302302302302302,40,5,37,2,3
5.311811811811812,39,5,36,2,3
5.321321321321322,39,5,36,2,3
5.330830830830831,39,5,36,2,3
5.340340340340341,39,5,36,2,3
5.34984984984985,39,5,36,2,3
5.35935935935936,39,5,36,2,3
5.368868868868869,39,5,36,2,3
5.378378378378379,38,5,35,2,3
5.387887887887889,38,5,35,2,3
5.397397397397397,38,5,35,2,3
5.406906906906907,38,5,35,2,3
5.416416416416417,38,5,35,2,3
5.4259259259259265,37,5,34,2,3
5.435435435435436,37,5,34,2,3
5.444944944944945,37,5,34,2,3
5.454454454454455,36,5,33,2,3
5.463963963963964,36,5,33,2,3
5.473473473473474,36,5,33,2,3
5.482982982982984,36,5,33,2,3
5.4924924924924925,36,5,33,2,3
5.502002002002002,36,5,33,2,3
5.511511511511512,36,5,33,2,3
5.5210210210210215,35,5,32,2,3
5.530530530530531,35,5,32,2,3
5.54004004004004,32,5,29,2,3
5.54954954954955,32,5,29,2,3
5.559059059059059,32,5,29,2,3
5.568568568568569,31,5,28,2,3
5.578078078078079,31,5,28,2,3
5.5875875875875884,31,5,28,2,3
5.597097097097097,31,5,28,2,3
5.606606606606607,30,5,27,2,3
5.616116116116117,30,5,27,2,3
5.625625625625626,30,5,27,2,3
5.635135135135136,30,5,27,2,3
5.644644644644645,30,5,27,2,3
5.6541541541541545,30,4,28,2,2
5.663663663663664,29,4,27,2,2
5.673173173173174,29,4,27,2,2
5.6826826826826835,29,4,27,2,2
5.692192192192192,29,4,27,2,2
5.701701701701702,29,4,27,2,2
5.711211211211212,29,4,27,2,2
5.720720720720721,29,4,27,2,2
5.730230230230231,29,4,27,2,2
5.73973973973974,29,4,27,2,2
5.7492492492492495,29,4,27,2,2
5.758758758758759,29,4,27,2,2
5.768268268268269,29,4,27,2,2
5.777777777777779,29,4,27,2,2
5.787287287287287,29,4,27,2,2
5.796796796796797,29,4,27,2,2
5.806306306306307,29,4,27,2,2
5.815815815815816,29,4,27,2,2
5.825325325325326,29,4,27,2,2
5.834834834834835,29,4,27,2,2
5.844344344344345,29,4,27,2,2
5.853853853853854,29,4,27,2,2
5.863363363363364,29,4,27,2,2
5.872872872872874,29,4,27,2,2
5.882382382382382,29,4,27,2,2
5.891891891891892,29,4,27,2,2
5.901401401401402,29,4,27,2,2
5.9109109109109115,29,4,27,2,2
5.920420420420421,29,4,27,2,2
5.92992992992993,29,4,27,2,2
5.93943943943944,29,4,27,2,2
5.948948948948949,29,4,27,2,2
5.958458458458459,29,4,27,2,2
5.967967967967969,29,4,27,2,2
5.977477477477478,29,4,27,2,2
5.986986986986987,29,4,27,2,2
5.996496496496497,29,4,27,2,2
6.0060060060060065,29,4,27,2,2
