gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Pars2	0.4499999999999999	0.14	0.14	0.53	1.0	-83.33938	-80.39186	-82.558716	-80.940895	0.0	-1.041648	-12.777746919632943	1.340511372850215	0.039647577092511016	18
Ttc4	0.26	0.46	0.26	0.71	0.87	-305.8591	-299.24896	-305.25348	-299.185	0.0	-2.898526	-10.766867301379897	5.905180671662868	0.2444933920704846	111
Mroh7	0.45	0.47	0.45	0.53	1.0	-7.346761	-7.456945	-7.653386	-7.214017	0.0	-0.057650123	-15.630996490594875	3.04419699682041	0.0022026431718061676	1
Fam151a	0.34	0.4599999999999999	0.34	0.64	1.0	-6.773158	-6.961496	-6.5318975	-7.1492357	1.0	0.16332845	-15.64407250401589	2.975693301518023	0.0022026431718061676	1
Acot11	0.48	0.46	0.46	0.48	1.0	-302.7714	-291.21124	-298.313	-295.69925	0.0	-3.0713928	-10.72239935400805	3.100375965559685	0.2290748898678414	104
Ssbp3	0.2	0.29	0.2	0.69	0.93	-546.2243	-537.9953	-543.7948	-540.1109	0.0	-2.6550174	-9.599992330077395	2.5501744700358233	0.5110132158590308	232
Mrpl37	0.3299999999999999	0.48	0.3299999999999999	0.58	1.0	-242.89932	-236.09634	-241.79288	-237.35725	0.0	-2.4068897	-11.092734798955396	0.1660888679803305	0.1762114537444934	80
Cyb5rl	0.3299999999999999	0.3199999999999999	0.3199999999999999	0.55	1.0	-98.59938	-96.65971	-97.59767	-97.68278	0.0	-0.39807567	-12.434666613666785	5.607114661182201	0.05726872246696035	26
Gm12802	0.0899999999999999	0.41	0.0899999999999999	0.73	0.8099999999999999	-34.591217	-35.336	-34.280754	-35.67868	1.0	0.47227934	-13.755604313724865	0.3142061402842611	0.015418502202643172	7
Tceanc2	0.37	0.33	0.33	0.62	1.0	-247.57146	-242.26425	-244.68303	-245.7504	0.0	-0.7908764	-10.97768153104261	1.2168820338243025	0.16740088105726872	76
Tmem59	0.49	0.4599999999999999	0.4599999999999999	0.5	1.0	-968.79706	-954.2822	-958.5405	-963.6012	0.0	-2.256534	-8.089363955158676	4.615704953333858	0.9273127753303965	421
Lrrc42	0.47	0.42	0.42	0.55	1.0	-260.7547	-251.82515	-256.79102	-255.52226	0.0	-2.2724185	-10.978128207779449	1.2547974187310613	0.20704845814977973	94
Hspb11	0.28	0.43	0.28	0.44	1.0	-322.85376	-320.6161	-320.89267	-321.83115	0.0	-0.4441154	-10.601202436692136	0.24285782484599316	0.2599118942731278	118
Yipf1	0.47	0.25	0.25	0.54	1.0	-419.09668	-409.5414	-418.37363	-411.76825	0.0	-3.1826968	-10.18709210607749	4.288030465362814	0.3744493392070485	170
Ndc1	0.4	0.0899999999999999	0.0899999999999999	0.64	1.0	-136.43213	-138.82884	-134.75493	-138.95154	1.0	1.0941654	-12.03527211253298	4.897589097879655	0.0881057268722467	40
Glis1	0.48	0.25	0.25	0.59	1.0	-173.92265	-168.08252	-172.9388	-168.77185	0.0	-2.2369652	-11.694135919888398	1.567043183084877	0.1013215859030837	46
Lrp8os3	0.49	0.28	0.28	0.51	1.0	-7.3056703	-7.4970193	-7.3591995	-7.4387484	0.7202533	0.05779508	-15.541479943536316	1.546186457864712	0.0022026431718061676	1
Lrp8	0.12	0.36	0.12	0.69	0.93	-31.384497	-31.441996	-30.560205	-32.3586	1.0	0.42304796	-13.907828285634848	0.5066820471664588	0.013215859030837005	6
Magoh	0.4599999999999999	0.28	0.28	0.52	1.0	-543.6077	-530.15125	-544.76495	-529.9272	0.0	-5.941384	-9.640909155198703	1.2870862136508325	0.5044052863436124	229
Czib	0.47	0.32	0.32	0.57	1.0	-427.715	-418.70035	-425.3321	-422.33063	0.0	-2.3384016	-10.053149790856594	1.9480511159028024	0.40748898678414097	185
Cpt2	0.26	0.3	0.26	0.57	1.0	-169.10953	-167.7668	-169.19597	-167.65059	0.0	-0.633609	-11.648266239712596	2.3099651257216274	0.11013215859030837	50
Podn	0.14	0.24	0.14	0.58	1.0	-102.68153	-105.13147	-103.1889	-104.23248	0.7929048	0.6735686	-12.556970216968821	5.819615726759237	0.048458149779735685	22
Scp2	0.36	0.44	0.36	0.6	1.0	-900.4974	-851.41895	-878.89954	-872.1576	0.0	-12.307811	-8.31913711594978	3.1110541873002124	0.8854625550660793	402
Echdc2	0.47	0.34	0.34	0.46	1.0	-316.5389	-308.20758	-314.76172	-309.39096	0.0	-3.1043148	-10.627882334874384	2.2140837967702485	0.2643171806167401	120
Zyg11b	0.4599999999999999	0.49	0.4599999999999999	0.42	1.0	-531.0014	-518.2741	-529.794	-520.26807	0.0	-4.661429	-9.628612131892561	4.359898595889841	0.4955947136563877	225
Coa7	0.36	0.46	0.36	0.44	1.0	-175.32039	-167.02808	-171.37827	-171.49677	0.0	-1.6605786	-11.64300138704763	3.4268541614906325	0.1145374449339207	52
Gpx7	0.41	0.42	0.41	0.59	1.0	-508.4461	-493.22162	-505.21915	-496.36432	0.0	-5.2470536	-9.750781210497284	1.446185280162645	0.4845814977973568	220
Tut4	0.35	0.41	0.35	0.63	1.0	-561.5217	-551.2458	-557.9088	-554.58984	0.0	-3.0104792	-9.503474801152477	3.715113063762363	0.5594713656387665	254
