ZT,sample,log10_prop
6,255,-4.863342963831069
6,256,-4.957208442726651
6,257,-4.808367686867882
6,258,-4.853882677537645
6,259,-4.745522092577776
6,260,-4.809493678329863
6,261,-4.791729763797936
6,262,-4.907667590015774
6,263,-4.791844115320874
6,264,-4.66263208000628
6,265,-4.819693047394483
6,266,-4.991366512207111
6,267,-4.840992918439819
6,268,-4.698586827382898
6,269,-4.820946622611923
6,270,-4.65384212251913
6,271,-4.80133466587584
6,272,-5.021478603076745
6,273,-4.864021786300109
6,274,-4.857592441213361
6,275,-4.868728974205604
6,276,-4.886979083875713
6,277,-4.918071835167034
6,278,-4.962219301427814
6,279,-4.8437880934494775
6,280,-4.604382808970816
6,281,-4.830638651788421
6,282,-4.690200721208578
6,283,-4.9490095994646
6,284,-4.919785141057611
6,285,-4.830361087829892
6,286,-4.7858764678607475
6,287,-4.948647054174912
6,288,-4.795006618893462
6,289,-4.775306864506461
6,290,-4.842406442738208
6,291,-4.928741037893136
6,292,-4.83512026589222
6,293,-4.8270669771879025
6,294,-4.772256745503326
6,295,-4.802279250582512
6,296,-4.789447382501967
6,297,-4.96953310502954
6,298,-4.7725861208047355
6,299,-4.837238406572368
12,0,-4.762012583543482
12,1,-4.815135258546711
12,2,-4.774271978753529
12,3,-4.860658653472265
12,4,-4.6831312221701245
12,5,-4.80096756083035
12,6,-4.820994991786207
12,7,-4.816530454414918
12,8,-4.827699442139629
12,9,-4.719417490615588
12,10,-4.9234849805589365
12,11,-4.68886802081694
12,12,-4.89322729042808
12,13,-4.775905980655955
12,14,-4.845015248905362
12,15,-4.819246906581773
12,16,-4.757813763706338
12,17,-4.817480045912275
12,18,-4.986896878638162
12,19,-4.747719179618169
12,20,-4.926164507644497
12,21,-4.846931061597702
12,22,-4.818612742897492
12,23,-4.7480111828034035
12,24,-4.828187917155711
12,25,-4.792423383121586
12,26,-4.597710187501026
12,27,-4.9983228667168085
12,28,-4.928125604970432
12,29,-4.83248866094606
12,30,-4.84294109645765
12,31,-4.665896865159979
12,32,-4.955408635586315
12,33,-4.897186231347288
12,34,-4.726779886909038
12,35,-4.748545389487962
12,36,-4.865810372864895
12,37,-4.910445777699898
12,38,-4.874749640002792
12,39,-4.80597721253733
12,40,-4.884182835982337
12,41,-4.888672720231461
12,42,-4.963993001731014
12,43,-4.962948549431598
12,44,-4.778217776847192
12,45,-4.856183700188215
12,46,-4.92486292088068
12,47,-5.024504224568319
12,48,-4.862498291420629
12,49,-4.739090601723594
12,50,-4.878207588929209
12,51,-4.9120107127129815
12,52,-4.77653111423561
12,53,-4.831714485936589
12,54,-4.758334469937446
12,55,-4.919019772635324
12,56,-4.847142240876184
12,57,-4.757048887022421
12,58,-4.810192036223268
12,59,-4.762864274401576
12,60,-4.936369285831195
12,61,-4.803124325324344
12,62,-4.740054677151141
12,63,-4.766112161636717
12,64,-4.761473459475216
12,65,-4.789400622653259
12,66,-4.87877796073576
12,67,-4.993397078753783
12,68,-4.838429620423701
12,69,-4.863951244195653
12,70,-4.862274997496833
12,71,-4.852602682558652
12,72,-4.847402593991737
12,73,-4.874767968432973
12,74,-4.923496916390298
12,75,-4.968047205783678
12,76,-4.819069701954359
12,77,-5.025130520438668
12,78,-4.796726362086348
12,79,-4.917762710545801
12,80,-4.993881351641968
12,81,-4.925212502158776
12,82,-4.943840758635971
12,83,-4.884688298323953
12,84,-4.932885766509501
12,85,-4.8342018327261735
12,86,-4.842804706115007
12,87,-4.716148413927017
12,88,-4.801103906469505
12,89,-4.934367329517003
12,90,-4.749291401299838
12,91,-4.743913124628769
12,92,-4.8334774126991205
12,93,-4.825442631238937
12,94,-5.101386356540266
12,95,-4.991685069264364
12,96,-4.777581199174546
12,97,-4.844877919789466
12,98,-4.955420034975819
12,99,-4.838117411261781
12,100,-4.945005686836215
12,101,-4.946931468406433
12,102,-4.858630053879076
12,103,-4.8480664854957025
12,104,-4.863738097963689
12,105,-4.757084828626972
12,106,-4.770590735903315
12,107,-4.8312850642284815
12,108,-4.943536506694958
12,109,-4.740416596591994
12,110,-4.900115650932153
12,111,-4.815050768953923
12,112,-4.8622555961829335
