gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Btbd9	0.35	0.37	0.35	0.58	1.0	-286.18204	-277.5067	-286.87753	-276.4684	0.0	-4.2185726	-10.717532106429337	4.0454644849782255	0.1766990291262136	91
Gm50250	0.26	0.5	0.26	0.57	1.0	-11.713817	-11.902875	-11.806927	-11.798607	0.50750595	0.03682393	-14.715580748316151	3.1569296077894076	0.003883495145631068	2
Gm50240	0.4599999999999999	0.03	0.03	0.57	1.0	-161.83803	-165.40187	-162.18533	-165.89638	0.90254754	1.7625188	-11.712939048511231	4.759711217075534	0.07766990291262135	40
Glo1	0.49	0.39	0.39	0.51	1.0	-672.30615	-661.09186	-668.48065	-664.72424	0.0	-3.2927814	-9.086645391239987	5.099549087994665	0.6155339805825243	317
Dnah8	0.37	0.45	0.37	0.51	1.0	-106.86588	-103.06862	-107.06966	-103.01974	0.0	-1.6703598	-12.248997252939402	6.193252572266178	0.036893203883495145	19
Abcg1	0.43	0.26	0.26	0.56	1.0	-6.6894965	-7.2373734	-7.053441	-6.8904257	0.33571833	0.08726243	-15.370304137715324	4.842966268685218	0.001941747572815534	1
Rsph1	0.47	0.1899999999999999	0.1899999999999999	0.54	1.0	-29.76734	-32.537045	-31.300922	-30.502588	0.44630104	0.3193144	-13.769215309437977	4.57223935654895	0.011650485436893204	6
Slc37a1	0.31	0.15	0.15	0.53	1.0	-19.67338	-19.344006	-19.622055	-19.71461	0.0	0.017905634	-14.353360618797169	4.346413149617069	0.005825242718446602	3
Pde9a	0.33	0.28	0.28	0.57	1.0	-13.722165	-13.778028	-13.560603	-13.936792	1.0	0.093211435	-14.663988257264425	4.001678020234808	0.003883495145631068	2
Wdr4	0.44	0.42	0.42	0.63	1.0	-118.804565	-112.532486	-117.41653	-114.757385	0.0	-1.757668	-12.104702454759218	2.4331171255072808	0.05631067961165048	29
Gm50103	0.33	0.31	0.31	0.56	1.0	-13.766321	-13.353116	-13.616986	-13.575445	0.0	-0.0828964	-14.699940796786509	4.054632977232757	0.003883495145631068	2
Ndufv3	0.42	0.45	0.42	0.53	1.0	-1066.8364	-1036.8157	-1064.2969	-1039.79	0.0	-11.746097	-7.962265571157072	5.307819107434529	0.8990291262135922	463
AC166172.1	0.26	0.13	0.13	0.59	1.0	-137.02483	-137.51746	-136.92789	-138.23279	1.0	0.52461123	-11.963422924625561	5.144398603472429	0.05631067961165048	29
Pknox1	0.37	0.3399999999999999	0.3399999999999999	0.51	1.0	-185.27782	-176.81161	-185.12033	-177.72812	0.0	-3.2787921	-11.435412732879755	5.133546676773186	0.08349514563106795	43
Gm50107	0.48	0.35	0.35	0.48	1.0	-17.22182	-19.000431	-18.86231	-17.302778	0.0776565	0.035159357	-14.274543939676999	1.3806617937189074	0.005825242718446602	3
Cbs	0.49	0.1999999999999999	0.1999999999999999	0.53	1.0	-128.38307	-124.24331	-128.44254	-124.16582	0.0	-1.8315305	-12.005674056114866	4.5752185019343266	0.062135922330097085	32
U2af1	0.2299999999999999	0.47	0.2299999999999999	0.6	1.0	-697.40735	-679.628	-694.3421	-682.38416	0.0	-6.52449	-8.962887065738737	0.08777724841606194	0.6388349514563106	329
Sik1	0.16	0.45	0.16	0.26	1.0	-166.35568	-179.34834	-173.67337	-169.0861	0.43678296	1.1858076	-11.747481476677978	2.9683132946939	0.09320388349514563	48
2310015A16Rik	0.29	0.44	0.29	0.69	0.93	-19.94809	-19.143341	-19.576029	-19.411016	0.0	-0.23324789	-14.350829632271282	0.2923761729982379	0.005825242718446602	3
Hsf2bp	0.43	0.39	0.39	0.54	1.0	-7.1153746	-6.797319	-7.0902023	-6.8686814	0.0	-0.107137464	-15.352323010520157	3.0912383255602593	0.001941747572815534	1
Rrp1b	0.46	0.15	0.15	0.72	0.84	-135.55891	-132.6894	-135.06429	-133.75417	0.0	-0.7837923	-11.891622922805443	1.5890089687467581	0.06601941747572816	34
Gm17276	0.45	0.29	0.29	0.61	1.0	-13.279393	-13.253418	-12.725046	-13.683702	0.0	0.17558928	-14.696489651730438	4.062517359688581	0.003883495145631068	2
Notch3	0.42	0.06	0.06	0.66	1.0	-62.63269	-64.14323	-63.189384	-64.1136	0.6314593	0.6431516	-12.881762708635643	1.5988497221972349	0.02330097087378641	12
Ephx3	0.22	0.28	0.22	0.65	1.0	-17.618061	-17.369526	-17.16991	-17.614555	0.0	-0.0015225091	-14.34224069901181	2.4585412089902787	0.005825242718446602	3
Brd4	0.41	0.46	0.41	0.54	1.0	-484.864	-475.93002	-484.9643	-475.07208	0.0	-4.2525816	-9.7304055386954	3.5538834972976443	0.3864077669902913	199
Gm26549	0.16	0.48	0.16	0.6	1.0	-35.019665	-33.830803	-34.512737	-34.257626	0.0	-0.3309494	-13.623911618916903	6.213981334503142	0.011650485436893204	6
Akap8	0.25	0.49	0.25	0.53	1.0	-352.3022	-334.0807	-348.03668	-338.2458	0.0	-6.104615	-10.429389140327167	3.398758745220321	0.23883495145631067	123
Akap8l	0.47	0.4599999999999999	0.4599999999999999	0.62	1.0	-363.25644	-356.34048	-361.77188	-358.5391	0.0	-2.0487175	-10.341186056263854	4.746113968725576	0.24854368932038834	128
Wiz	0.18	0.4	0.18	0.48	1.0	-252.1742	-250.40512	-255.05293	-247.16655	0.0	-2.1747925	-11.00491857438699	3.1843678902932653	0.141747572815534	73
Cyp4f17	0.36	0.1899999999999999	0.1899999999999999	0.62	1.0	-112.68501	-109.81267	-111.54867	-109.79966	0.0	-1.2530929	-12.17381051179644	5.000427577880983	0.04660194174757282	24
Cyp4f16	0.24	0.3199999999999999	0.24	0.6	1.0	-126.355774	-124.270645	-126.48318	-124.1735	0.0	-0.9477495	-11.95954133753862	3.424347971512372	0.06601941747572816	34
Zfp871	0.43	0.34	0.34	0.57	1.0	-454.29755	-441.45795	-449.39096	-444.81006	0.0	-4.1203637	-9.914374990548602	1.894537612386105	0.312621359223301	161
Gm17115	0.49	0.42	0.42	0.63	1.0	-7.6968813	-7.3116455	-7.561166	-7.3954163	0.0	-0.1309246	-15.400122732177174	4.915319125300429	0.001941747572815534	1
Zfp811	0.3299999999999999	0.3399999999999999	0.3299999999999999	0.63	1.0	-22.007086	-21.836088	-21.948	-21.879702	0.0	-0.05532225	-14.073328393255501	5.640826308916659	0.007766990291262136	4
Zfp799	0.29	0.35	0.29	0.71	0.87	-108.40971	-105.647385	-107.49144	-106.76599	0.0	-0.7138596	-12.166754098699794	0.47376365322849257	0.05048543689320388	26
Gm50050	0.4	0.4499999999999999	0.4	0.6	1.0	-6.9589233	-6.7451515	-7.0137835	-6.681769	0.0	-0.12036665	-15.360343828413727	3.1303020515525803	0.001941747572815534	1
Zfp870	0.42	0.4599999999999999	0.42	0.57	1.0	-111.70485	-106.97634	-110.66264	-107.58319	0.0	-1.7900134	-12.097237473270901	5.445367628285601	0.05242718446601942	27
Cyp4f14	0.25	0.36	0.25	0.58	1.0	-17.354609	-17.535358	-16.495388	-17.8229	1.0	0.20337673	-14.342051494965386	2.5733856270489612	0.005825242718446602	3
Cyp4f13	0.27	0.37	0.27	0.54	1.0	-144.0385	-138.41634	-142.8918	-139.16891	0.0	-2.114833	-11.753411532154683	5.811212318174468	0.07378640776699029	38
Zfp472	0.39	0.39	0.39	0.54	1.0	-84.11449	-81.98165	-83.051796	-82.92004	0.0	-0.5187432	-12.540206771850066	4.524280305545376	0.036893203883495145	19
Zfp952	0.32	0.2199999999999999	0.2199999999999999	0.64	1.0	-166.59724	-163.4168	-166.49649	-164.099	0.0	-1.084974	-11.61031311209993	4.544659233430215	0.08737864077669903	45
Zfp763	0.43	0.47	0.43	0.53	1.0	-80.4807	-79.107346	-79.90827	-79.58412	0.0	-0.38937798	-12.50838940639232	6.015791934221306	0.03495145631067961	18
Zfp563	0.4399999999999999	0.49	0.4399999999999999	0.58	1.0	-121.979225	-116.61145	-120.98143	-118.65543	0.0	-1.4435043	-12.067112170690322	5.0300659443515485	0.05825242718446602	30
Zfp955a	0.28	0.28	0.28	0.63	1.0	-140.37994	-136.93626	-139.14342	-137.79669	0.0	-1.1218921	-11.816074813539323	0.5370684588970738	0.06796116504854369	35
Zfp955b	0.26	0.41	0.26	0.6	1.0	-199.39725	-194.19962	-197.49727	-196.07004	0.0	-1.4449887	-11.236151612927472	0.08406707002708558	0.11650485436893204	60
Zfp81	0.46	0.13	0.13	0.68	0.9599999999999996	-188.73273	-183.45218	-187.68271	-185.06589	0.0	-1.5924882	-11.357272954484236	1.482904776206741	0.09902912621359224	51
Zfp101	0.3	0.3399999999999999	0.3	0.47	1.0	-170.85411	-165.50142	-170.61385	-167.18417	0.0	-1.5938334	-11.57664486606924	3.7867278478982995	0.08737864077669903	45
Adamts10	0.37	0.36	0.36	0.49	1.0	-371.37418	-365.64453	-372.0323	-364.69516	0.0	-2.9006598	-10.297323788574893	4.431603665364869	0.2504854368932039	129
Zfp414	0.48	0.4399999999999999	0.4399999999999999	0.65	1.0	-203.09067	-197.07843	-200.32248	-199.68538	0.0	-1.478898	-11.18736624162516	0.17012210564799535	0.11262135922330097	58
Pram1	0.24	0.46	0.24	0.7	0.9	-8.670946	-8.3383255	-8.680609	-8.338423	0.0	-0.14441305	-15.339376591597587	0.057572444982442406	0.001941747572815534	1
Hnrnpm	0.42	0.5	0.42	0.59	1.0	-666.0962	-656.792	-662.79535	-660.6221	0.0	-2.3773806	-9.106833823750772	3.000717457743645	0.5592233009708738	288
March2	0.23	0.3299999999999999	0.23	0.62	1.0	-570.69727	-558.8106	-565.88934	-562.3328	0.0	-3.6326306	-9.502762641323086	3.772841980280485	0.46601941747572817	240
Rab11b	0.47	0.3	0.3	0.62	1.0	-648.94885	-623.31885	-642.0765	-628.97156	0.0	-8.676029	-9.178278896276023	1.5005232800648853	0.5611650485436893	289
Gm17251	0.31	0.31	0.31	0.6	1.0	-114.01079	-113.0532	-114.3418	-113.23368	0.0	-0.3374934	-12.18457149348455	3.7347035320647994	0.05242718446601942	27
