gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
GABPA (human),7,Tfap2b;Tgfb3;Mthfd2;Tob2;Frzb;Sult1a1;Nqo1,0.378957,-0.251878,-0.400942,-0.047681,0.01465,-0.15014,0.175697,0.127079,0.007636,0.24881,0.110148,-0.019548,0.259209
MTF1 (human),61,Haghl;Atf3;Dpysl2;Pdgfb;Oplah;Tmc7;Dusp8;Bhlhe41;Mecom;Cdkl5;Nanos1;Fabp3;Zbtb16;Mapkapk3;Slc25a33;Pfkfb3;Lingo1;Aph1a;Ip6k2;Ntrk3;Cdc20;Cpne5;Foxf1;Ppp1r1b;Grap;Rgl1;Tspan4;Per3;Pnpla2;Nexn;Ndrg1;Pak4;Pkdcc;Ets1;Mknk2;Wnt4;Trib2;Prr7;Cyp1b1;Prdm16;Angptl4;Dgkg;Usp2;Klf2;Slc24a4;Pfn1;Slc22a4;Banp;Patz1;Hist3h2a;Tppp3;Mapre2;Pde7a;Rasd2;Manba;Arid5b;Axin2;Dbp;Spry2;Thra;Camk2b,0.377274,-0.20127,-0.256209,-0.142485,0.059542,0.010714,0.114337,0.176005,0.126666,0.227086,-0.034276,-0.089501,0.015249
RUNX2 (human),51,Haghl;Psmd9;Gbp5;Tmc7;Cdkl5;Dgat2;Lars2;Ndst3;Hsp90b1;Fam13a;Htr2a;Ip6k2;Ppp1r3b;Scn2b;Capsl;Rassf2;Cd14;Rrad;Sec14l1;Dync1i2;Dpep1;Proca1;Pak4;Nav2;Irf7;Mknk2;Armc2;Fmo1;Angptl4;Gpr146;Ablim1;Usp2;Erf;Phactr3;Uba52;Adamts8;Hsbp1l1;Ifitm3;Antxr1;Mthfd1l;Gpm6a;Ifit3;Glul;Nmb;Tsc22d3;Aldoa;Stc2;Pdzd2;Tiparp;Hspb1;Dbp,0.371535,-0.19674,-0.275721,-0.113501,-0.027305,-0.090256,0.044189,0.174794,0.123076,0.245792,0.049251,-0.034193,0.111717
SPIB (human),20,St3gal5;Gnl1;Kcnc4;Tmem140;Zbtb16;Kank4;Csf1;Ablim1;Frzb;Igfbp2;Osgin1;Dlx5;Dusp18;Klf4;Egr2;Fam78b;Acvrl1;Thsd7a;Slc1a4;Rbm24,0.352432,-0.19778,-0.302693,-0.091092,0.095439,0.017443,0.198556,0.154652,0.055093,0.248377,-0.052312,-0.148925,0.057157
SREBF1 (human),96,Kcnb1;Mmp14;Bhlhe40;Mecom;Frzb;Osgin1;Ahsa2;Ip6k2;Marcksl1;Myo10;Unc5d;Cirbp;Mfsd10;Crispld2;Epb41;Egr2;Hhip;Sec14l1;Tcap;Herpud1;Nanp;Asb10;Nav2;Armc2;Tef;Adcy7;Sv2a;Nr1d1;Nr1d2;Timp1;Tmem229b;Fkbp5;Dnajc1;Ccdc42;Drd1;Cebpd;Adamts8;Arrdc3;Mpp2;Lox;Lpl;Wnt16;Wee1;Upb1;Lin9;Slc5a3;Mrpl27;Fabp3;Lag3;Gk;Slc25a33;Rnaseh2b;Has3;Pim3;Bdnf;Rsad1;Mapk12;Ppp1r3b;Ppp1r1b;Rassf2;Rassf3;Tspan4;Ccdc112;Tnfrsf12a;Mrps6;Ccdc107;Per3;Dpy19l3;Per1;Plvap;Fdps;Irf7;Prr7;Asb2;Ahnak;Serpine1;Cyp1b1;Slc6a6;Tmem200b;Rnf145;Tmem140;Rbbp4;Abhd11;Serinc3;Uba52;Slc46a3;Glrx;Gpm6a;Dpf1;Nqo1;Mapre2;Stil;Ncald;Palld;Camk2b;Chchd6,0.352282,-0.194554,-0.238619,-0.140235,0.030668,-0.012412,0.081904,0.157729,0.118379,0.201483,0.006158,-0.038223,0.051993
ZNF148 (human),75,Pdgfb;Dusp8;Bhlhe40;Kcnc4;Cdc25b;Ly6e;Marcksl1;Ntrk3;Cirbp;Mfsd10;Rrad;Tcap;Asb10;Mknk2;Cck;Flrt1;Nr1d1;Nr1d2;Gja4;Prdm16;Timp1;Dhrs3;Cdkn1a;Adamtsl5;Ccdc42;Phactr3;Cebpb;Hsbp1l1;Cbfa2t3;Faim2;Nol3;Cdh16;Haghl;Ngef;Pdxk;Hes1;Zbtb16;Slc25a34;Has3;Bdnf;Lingo1;Fhl3;Mapk12;Ppp1r1b;Wnk4;Rcor2;Ifi30;Tspan4;Proca1;Rbm24;Prr7;Hspa1a;Asb2;Serpine1;Mthfr;Cyb561;Rnf152;Gpr146;Sbsn;Igfbp6;Abhd11;Tnni3;Pfn1;Eif5a2;Acvrl1;Adrb1;Mapre2;Ephx1;Pdia6;Nr4a2;Espn;Nr4a1;Hspb7;Cldn7;Camk2b,0.345557,-0.171991,-0.230461,-0.126072,0.102792,0.049626,0.145074,0.173566,0.131761,0.22848,-0.104367,-0.148421,-0.051521
Pax2 (mouse),43,Ngef;Gbp5;Lxn;Kcnb1;Sphk1;Rapgef5;Ly6e;Bdnf;Kcnk3;Ip6k2;Crispld2;Rgl1;Id4;Neu2;Dync1i2;Gem;Plb1;Plk2;Tal2;Fmo2;Fmo4;Rspo3;Cyp51;Igfbp2;Dnajb2;Ccdc60;Slc46a3;Apcdd1;Arl6ip5;Nmb;Tsc22d3;Tlr2;Sgk1;Stc2;Trp53bp1;Stil;Col6a6;Dock5;Hba-a1;Dbp;Lonrf1;Clock;Acan,0.344294,-0.20731,-0.268029,-0.13843,-0.042754,-0.099805,0.024288,0.136983,0.075184,0.198578,0.113081,0.042658,0.173667
ZNF354C (human),42,Ngef;Klf11;Pdgfb;Kcnb1;Egln3;Zbtb16;Has3;Leo1;Fam13c;Pim3;Bdnf;Htr2a;Aph1a;Bcas2;Mfsd10;Crispld2;Scn2b;Art3;Rassf3;Tspan4;Ano1;Cytl1;Hmgb3;Lasp1;Cck;Serpine1;Gnl1;Tal2;Phf19;Ppef1;Phactr3;Drd1;Selenbp1;P2rx5;Uba52;Dpf1;Nmb;Nol3;Rasd1;Ncald;Il15ra;Hlf,0.343094,-0.19756,-0.27358,-0.126681,0.071744,0.020151,0.1394,0.145534,0.080766,0.211646,-0.019717,-0.088008,0.041883
RELA (mouse),70,Scx;Ism1;Sphk1;Dusp8;Cdkl5;Pgm2l1;Npas4;Pcyt2;Marcksl1;Rin3;Egr2;Hhip;Actr3b;Ypel2;Asb10;Gem;Pkdcc;Ets1;Plb1;Mknk2;Cd9;Adcy7;Plk2;Gnl1;Pqlc3;Rara;Tmem229b;Nampt;Adamtsl5;Csf1;Col14a1;Dnajb4;Phactr3;Adamts8;Sik1;Mthfd1l;Hist3h2a;Zdhhc23;Cdk2ap1;Nol3;Rasd1;Rbm3;Tmc7;F3;Mmab;Ccdc107;Pcsk4;Rftn1;Per3;Per1;Rbm24;Parl;Tmem200b;Tm9sf1;Sema4a;Cys1;Rcan1;Abhd11;Dhcr24;Slc24a4;Pfn1;Banp;Tsc22d3;Rpusd4;Aldoa;Adrb1;Tgfb2;Nr4a2;Nfkbia;Ncald,0.34034,-0.18467,-0.244706,-0.125414,-0.010279,-0.062104,0.055063,0.15567,0.111125,0.206178,0.039278,-0.008918,0.09285
ATF4 (human),61,Pdxk;Klf11;Hsph1;Dusp1;Dusp8;Lefty1;Fos;Fabp3;Slc25a33;Hsp90b1;Bcas2;Prc1;Hnrnpa0;Epb41;Tmem86a;Aimp2;Actr3b;Tfap4;Id1;Id2;Csrnp1;Sec14l1;Lmcd1;Per2;Per1;Gem;Nav2;Ddx17;Homer2;Cck;St3gal5;Slc16a11;Gja4;Pawr;Cyb561;Gpr146;Sema4c;Fkbp5;Rcan1;Fam107a;Abhd11;Hmgcs1;Dusp14;Phactr3;Klf4;Klf9;Uba52;Cebpb;Sik1;Apcdd1;Tsc22d3;Mlf1;Igsf8;Gdf15;Gsta4;Pde7a;Zfp36l1;Rasd1;Nr4a2;Nr4a1;Dbp,0.332434,-0.145025,-0.221215,-0.08073,0.007062,-0.039387,0.048603,0.187409,0.137742,0.24756,-0.049446,-0.108434,-0.001839
