gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
ETV4 (mouse),31,Plscr2;Mmp14;Kcna6;Smpd3;Tcap;Htra4;Etv4;Tef;Plac8;Hmgcs2;Angpt2;Lyz2;Hmcn1;Ifit3;Lmo2;Gap43;Clock;Hlf;Lepr;Ctla2a;Ccl2;Socs2;Per1;Fmo3;Ccl11;Cacnb4;Rhobtb1;Tsc22d3;Npy1r;Aldh3a1;Ncam1,0.533819,-0.398055,-0.605484,-0.179139,0.135764,-0.076573,0.339883,0.123429,-0.086386,0.284773,-0.054288,-0.230387,0.152188
SP1 (human),38,Klf11;Bhlhe41;Hsd11b2;Tmem52;Pigz;Slc27a1;Sh3bp2;Lepr;Lingo1;Lcn8;Fndc5;Cpne7;Egr3;Foxf1;Ppp1r1b;Tspan4;Nfil3;Per3;Marveld1;Wnt4;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Stmn1;Ankrd12;Tnnt2;Ezr;Glul;Nme3;Atp1b1;Rasd2;Dbp;Wee1;Nt5dc2,0.532437,-0.372539,-0.529661,-0.124056,0.159898,-0.015688,0.366609,0.090199,-0.10868,0.289056,-0.0678,-0.292608,0.135548
PCBP1 (human),33,Klf11;Bhlhe41;Kcna2;Tmem52;Pigz;Slc27a1;Sh3bp2;Lepr;Lingo1;Egr3;Foxf1;Tspan4;Per3;Camkk2;Wnt4;Add2;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Stmn1;Cdh4;Ankrd12;Ezr;Glul;Nme3;Atp1b1;Dbp;Wee1;Nt5dc2,0.531927,-0.335643,-0.50719,-0.130678,0.196284,0.012787,0.409991,0.146182,-0.063406,0.386955,-0.026377,-0.278611,0.141416
NR2F1 (mouse),19,Larp6;Plscr2;Jam2;Tspan4;Nfil3;Fam174b;Pld1;Wnt2;Cry1;Xlr;Ahsg;Cdkn1a;Serpina3c;Smpdl3b;Manf;Ifit3;Pdk4;Gsta3;Megf10,0.526777,-0.424802,-0.742601,-0.105547,-0.032714,-0.365827,0.253467,0.101975,-0.113442,0.330362,0.049711,-0.233369,0.333011
RORB (mouse),19,Larp6;Plscr2;Jam2;Tspan4;Nfil3;Fam174b;Pld1;Wnt2;Cry1;Xlr;Ahsg;Cdkn1a;Serpina3c;Smpdl3b;Manf;Ifit3;Pdk4;Gsta3;Megf10,0.526777,-0.424802,-0.742601,-0.105547,-0.032714,-0.365827,0.253467,0.101975,-0.113442,0.330362,0.049711,-0.233369,0.333011
GLI2 (human),38,Chst1;Mbd1;Kcna2;Zbtb16;Cdc25b;Cxcl12;Npas2;Jam2;Trim67;Cirbp;Ttc39b;Chordc1;Adcyap1r1;Tspan4;Ano2;Per1;Tcap;Acaa2;Rgs7;Pik3r3;Rasgef1b;Wnt2;Ptx3;Add2;Cbs;Tef;Nr1d2;Plac8;Gja4;Erf;Itpr3;Selenbp1;Smpdl3b;Sorbs1;Lrrn4cl;Dock10;Dbp;Wee1,0.51484,-0.292246,-0.486379,-0.140657,0.222593,0.050316,0.40664,0.067669,-0.131751,0.248042,0.053026,-0.137717,0.233056
TEAD2 (human),36,Tmem51;Pigz;Cdc25b;Rasl11a;Tnfrsf25;Fhl2;Ephb2;St5;Egr3;Ppp1r1b;Tspan4;Creld2;Nfil3;Per3;Chchd10;Marveld1;Wnt4;Sox12;Cntfr;Eln;Angptl4;Gpr146;Esrrg;Cys1;Cacnb4;Coch;Sost;Ezr;Sorbs1;Dock10;Cabp1;Aldh3b1;Hspb7;Clock;Camk2b;Nt5dc2,0.506016,-0.253005,-0.496008,-0.093934,0.048956,-0.137239,0.274223,-0.029337,-0.184158,0.146834,0.253011,0.049269,0.449189
ATF2 (human),32,Lum;Plscr2;Dgat2;Cdc25b;Sh3bp2;Ece1;Per2;Ccnb1ip1;Htra4;Klhl13;Gfod2;Add2;Sytl5;Nr1d2;Timp4;Fmo2;Cacnb4;Erf;C1qtnf3;Angpt2;Tnmd;Slc24a5;Sema3e;Hmcn1;Glul;Fam180a;Diaph3;Ncam1;Dbi;Top1mt;Gap43;Rbm3,0.503302,-0.349966,-0.637584,-0.097692,0.153336,-0.046327,0.355321,0.147315,-0.030854,0.354147,0.056055,-0.163096,0.303481
HIF1A (human),22,Vmo1;Htra4;Coq10b;Fkbp5;Vgll3;Ifit1;Magt1;Cst6;Rnaseh2b;Hp;Leo1;Fam13a;Acaa2;Psrc1;Serpine1;Cyb561;Efhd1;Aspa;Fam180a;Hspa5;Arap2;Camk2b,0.502558,-0.3823,-0.623602,-0.094618,0.120258,-0.094142,0.390316,-0.047744,-0.343669,0.185289,-0.025099,-0.227134,0.1894
GATA3 (human),43,Rasl11a;Slc9a3r1;Bok;Ece1;Adcyap1r1;Enpp2;Htra4;Cytl1;Cry1;Tef;Plac8;Aifm3;Fkbp4;Dnaja1;Mthfd1l;Svil;Wif1;Lpl;Plaur;Hsd11b2;F13a1;Psmb8;Sh3bp2;Has1;Slc38a1;Prg4;Creld2;Ano2;Isg15;Klhl13;Rgs7;Cpt2;Fmo3;Sema3e;Ezr;Fam180a;Arhgap18;Csf2ra;Plcxd3;Aldh3b1;Hspa5;Hspb7;Cxcl5,0.497682,-0.409338,-0.586427,-0.224082,0.078211,-0.120181,0.292905,0.088344,-0.075842,0.25649,0.039869,-0.169156,0.210778
