gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
JUN (mouse),27,Dusp1;Cd248;Cytl1;Gnao1;Nr1d1;Tpm2;Cspg4;Cd300lg;Prkg1;Adamts1;Mthfd1l;Atp1a2;Fbln1;Postn;Dbp;Hlf;Rbm3;Maf;Sfrp2;Ptprr;Errfi1;Atp2b2;Plce1;Sox18;Sema6b;Tnxb;Cxcl2,0.478183,-0.225715,-0.395069,-0.041505,-0.007129,-0.139096,0.145798,0.252468,0.066191,0.420311,-0.019624,-0.209576,0.163012
SMAD4 (mouse),24,Cacna2d3;Nr2f2;Islr;Wnt9b;Slmap;Zfp423;Ptgfrn;Adarb1;Nsg1;Tpt1;Cebpb;Hmcn1;Zcchc24;Scube3;Col6a2;Ncoa3;Enah;Errfi1;Atp2b2;Fam102b;Itpripl2;Nr4a2;Dock5;Cobll1,0.477799,-0.283612,-0.477492,-0.067976,0.118798,-0.032221,0.277025,0.194187,-0.010293,0.398064,-0.029374,-0.220164,0.140645
POU2F1 (human),17,Sparcl1;Fam135a;Cp;Glipr2;Me3;Tagln;Slc12a8;Rarres2;Pcdh11x;Tpbg;Gcnt2;Hdac9;Acsl3;Arrdc3;Ifit1;Tmem138;Aldh1a1,0.476244,0.198626,-0.039643,0.421481,-0.242645,-0.43148,-0.00326,-0.189579,-0.340617,0.02371,0.233598,0.029211,0.443412
SREBF2 (human),30,Xpnpep3;C3;Fos;Zbtb16;Ucp2;Lcn2;Osgin1;Cd248;Aph1b;Hand2;Itih5;Ramp3;Kdr;Ptgfrn;Egr3;Klk11;Pdlim7;Atp2b2;Plce1;Nr1d1;Slc6a6;Plac8;Adamtsl5;Bcl6;Adamts1;Stc1;Gdpd3;Tgfbi;Cdh11;Nrcam,0.472622,-0.246165,-0.400136,-0.059995,0.163879,-0.029708,0.324465,0.226457,0.06483,0.373548,-0.144171,-0.292722,0.019209
WT1 (human),43,Cacna2d3;Samd5;Nr2f2;Slco3a1;Npas2;Phkg2;Igf2bp2;Egr3;Lpar1;Gnao1;Adarb1;Nr1d1;Nr1d2;Angptl4;Slc39a4;Cd300lg;Cebpb;Hdac9;Atp1a2;Cdh11;Nrcam;Lrg1;Spsb1;Flnc;Pfkfb3;Flt4;Tspan4;Enah;Per3;Ramp2;Scara5;Pthlh;Gpr161;Plce1;Junb;Fam102b;Adra2c;Fn3k;Smpdl3b;Acsl3;Gdf6;Nr4a2;Fam189b,0.464947,-0.136479,-0.25178,0.023788,0.005532,-0.125083,0.134548,0.297947,0.155684,0.465592,-0.167,-0.298434,-0.018876
ATF4 (human),25,Xpnpep3;Fam135a;Dusp1;Lefty1;Fos;Maf;Cd248;Slc12a8;Ptprr;Tpbg;Cmklr1;Fkbp5;Fam107a;Pi15;Uba52;Cebpb;Cdo1;Susd5;Gdf6;Tsc22d3;Abcg2;Myh11;Nr4a2;Cxcl2;Dbp,0.464446,-0.070653,-0.247135,0.096006,-0.256136,-0.455135,-0.078586,0.11848,-0.014273,0.285486,0.208309,0.063409,0.390043
HIF1A (human),20,Gnb5;Fkbp5;Slco2b1;Cd300lg;Hdac9;Vgll3;Ifit1;Edn1;Cst6;Rbp7;Rnaseh2b;Aph1b;Klk11;Gcnt2;Guca1b;Hinfp;Itpripl2;Nqo1;Tmem101;Ehmt1,0.46329,-0.229042,-0.411688,-0.032651,-0.024064,-0.226115,0.191881,0.234247,0.004356,0.409414,0.018859,-0.181418,0.248524
NR3C1 (mouse),20,Slco3a1;Iigp1;Cmklr1;Ahsg;Angptl4;Pls3;Bcl6;Ifit1;Cp;Cd38;Cd36;Eln;Abca8a;Rcan2;Smpdl3b;Sema3a;Cmah;Tnxb;Dock5;Ncam1,0.462863,-0.275019,-0.470904,-0.097945,0.187844,-0.031811,0.408465,0.170387,-0.021572,0.38546,-0.083212,-0.253276,0.11497
MZF1 (human),32,Cacna2d3;Rbp7;Col1a1;Npas2;Flnc;Ntrk3;Ramp3;Tagln;Slc12a8;Tpbg;Nr1d2;Plac8;Sox18;Cmklr1;Eln;Laptm5;Gsn;Sema4d;Tpm2;Clec3b;Inmt;Uba52;Adamts1;Vipr1;Tgfbi;Tnxb;Myh11;Nr4a2;Col6a2;Fam189b;Tbcel;Nrcam,0.457312,-0.098007,-0.295479,0.098716,-0.226893,-0.402265,-0.052695,0.09448,-0.06554,0.262116,0.23042,0.069575,0.389816
APEX1 (human),27,Rbp7;Adam33;Lars2;Smpd3;Ucp2;Pfkfb3;Flt4;Kdr;Klk11;Ccnb1ip1;Mknk2;Plce1;Cmklr1;Ahsg;Gcnt2;Guca1b;Sema6b;Myom1;Slco2b1;Uba52;Mthfd1l;Gpm6a;Ifit1;Lmo2;Tmem138;Abcg2;Tmem101,0.454518,-0.09358,-0.236641,0.082611,0.012027,-0.136849,0.179698,0.268035,0.103771,0.397316,-0.186483,-0.340515,-0.05361
