gene	log_min	log_max
Nup43	-13.793583	-10.3397045
Vwa3a	-15.581789	-12.127911
Clptm1l	-11.598337	-8.144459
Serbp1	-9.642402	-6.1885242
Gm17746	-16.94703	-13.493152
Gm20939	-15.3544	-11.900521
Cd164l2	-18.333324	-14.879447
Zfp532	-12.56918	-9.115301
Nusap1	-16.296442	-12.842565
Ttc27	-13.894603	-10.440724
Tox	-15.848418	-12.39454
Gm44170	-18.333324	-14.879447
Mars2	-14.061299	-10.607421
Rgn	-18.738789	-15.284911
Depdc7	-16.296442	-12.842565
Zfp689	-14.564403	-11.110524
Poc5	-13.473513	-10.019634
Gm11536	-19.431936	-15.978059
Yod1	-13.068909	-9.61503
Daam1	-11.43663	-7.9827523
Kctd16	-14.695739	-11.24186
Eif6	-11.337864	-7.883986
Gm47123	-14.375691	-10.921813
Ssh1	-12.344363	-8.890485
Inip	-13.379848	-9.925969
Gm41442	-17.12935	-13.675473
Ankrd26	-12.754853	-9.300975
Mndal	-16.030739	-12.576861
Cyyr1	-18.333324	-14.879447
Adnp2	-12.841636	-9.387757
Npw	-18.738789	-15.284911
2810442N19Rik	-17.822498	-14.368621
Gm26586	-17.234713	-13.780834
Apobec2	-16.099731	-12.645854
Gm45371	-18.333324	-14.879447
Shprh	-12.207912	-8.754034
Yif1a	-11.698254	-8.244375
Bin3	-13.731494	-10.277616
Cxcl2	-18.333324	-14.879447
Lgi4	-16.659348	-13.20547
Gm53	-15.876589	-12.42271
Thumpd2	-13.804316	-10.350437
Cenpj	-14.579906	-11.126028
Ppp1r16a	-13.507681	-10.0538025
Gm15411	-15.670737	-12.216859
Abr	-12.64184	-9.187962
Manba	-13.025057	-9.571178
Atad3a	-12.976739	-9.522861
Gm44836	-18.04564	-14.5917635
Fam234b	-14.094399	-10.640521
Sp100	-16.136099	-12.682221
Slc4a2	-12.326151	-8.8722725
Zc3h7a	-12.082706	-8.628828
Timm50	-12.442602	-8.988724
Mir17hg	-14.652814	-11.1989355
Usp16	-11.721284	-8.2674055
Gm50250	-18.333324	-14.879447
Timm29	-12.841636	-9.387757
Myo1a	-18.04564	-14.5917635
AI504432	-18.333324	-14.879447
Akirin1	-11.757784	-8.3039055
4933425L06Rik	-18.333324	-14.879447
Ces1d	-18.738789	-15.284911
Taf9	-17.352495	-13.898617
Hist2h2bb	-15.013097	-11.559218
Nt5dc2	-14.989285	-11.535407
2900052L18Rik	-15.141478	-11.687599
Egfl7	-16.659348	-13.20547
Mtss1	-11.41694	-7.963062
Znrd1as	-13.445485	-9.991607
Capza2	-10.256188	-6.8023105
A330076H08Rik	-17.03404	-13.580163
Cep290	-12.261818	-8.80794
Syngr2	-11.621179	-8.1673
4632404H12Rik	-15.519914	-12.066035
Zfp579	-13.657386	-10.203507
Dancr	-13.04843	-9.594552
Arl16	-12.779074	-9.325195
Cds2	-11.445092	-7.9912143
2310010J17Rik	-12.554641	-9.100762
Ano8	-14.024765	-10.570887
A230020J21Rik	-18.738789	-15.284911
1700023F06Rik	-19.431936	-15.978059
Endog	-12.150552	-8.696673
Bnipl	-17.352495	-13.898617
Gm12522	-18.738789	-15.284911
Srp14	-10.241595	-6.7877173
Ncoa4	-11.793258	-8.339379
Rpusd2	-15.519914	-12.066035
Gm26916	-18.04564	-14.5917635
Gm29488	-15.876589	-12.42271
Mei4	-14.644445	-11.190567
Fam8a1	-11.868217	-8.414339
Srrd	-13.277079	-9.8232
Oit3	-17.640177	-14.186299
Epha3	-11.289583	-7.8357053
Rpa2	-13.342893	-9.889014
Uevld	-13.235493	-9.781614
Slc26a6	-14.519282	-11.065404
Cfap54	-19.431936	-15.978059
Gm47112	-16.79288	-13.339002
Atf6	-12.315543	-8.861665
Canx	-10.47314	-7.019262
Cep112it	-15.603295	-12.149417
Kifc1	-17.352495	-13.898617
Spred1	-12.17564	-8.721762
Rpl21	-8.010107	-4.5562296
BC049715	-16.487497	-13.03362
Aprt	-11.186028	-7.7321496
Gm45605	-15.581789	-12.127911
Rbmxl1	-12.077575	-8.623696
Pcdh10	-16.598722	-13.144845
Gosr2	-12.811864	-9.3579855
Nr1d2	-11.605893	-8.152015
Platr23	-19.431936	-15.978059
Eif4g2	-9.463973	-6.0100956
Slc48a1	-10.948714	-7.4948363
Btg3	-11.365416	-7.9115376
Stap1	-16.17384	-12.719962
Ifit1	-16.030739	-12.576861
Hagh	-11.394717	-7.9408393
Mrpl2	-11.93862	-8.484741
Nnat	-16.94703	-13.493152
Fam184b	-14.787546	-11.333668
AA465934	-15.519914	-12.066035
Gm16045	-17.822498	-14.368621
Gm3448	-15.519914	-12.066035
Nudt10	-15.088132	-11.6342535
Ereg	-13.768976	-10.315098
Amz2	-12.554641	-9.100762
Gpc1	-13.728154	-10.274276
Sp2	-12.958046	-9.504168
Mcc	-15.101204	-11.6473255
Tcp11	-16.659348	-13.20547
Card6	-14.768498	-11.31462
Gm9747	-17.486027	-14.032148
Trim30a	-16.296442	-12.842565
Marcks	-13.42067	-9.966791
1700016F12Rik	-16.723886	-13.270008
Ctnna1	-10.431084	-6.9772058
Pnrc2	-11.782245	-8.328366
4930505N22Rik	-17.486027	-14.032148
Jade3	-14.9546	-11.500722
0610010F05Rik	-12.834791	-9.380913
A630089N07Rik	-14.158937	-10.705059
1110038B12Rik	-12.723853	-9.269975
Mmp24	-18.04564	-14.5917635
Teddm2	-15.670737	-12.216859
Ppp1r16b	-19.431936	-15.978059
4930404I05Rik	-18.333324	-14.879447
Gm15587	-19.431936	-15.978059
Mc5r	-16.099731	-12.645854
Gm11715	-18.738789	-15.284911
Wdr27	-14.414658	-10.960779
Fkbp10	-11.633004	-8.179126
Hdgf	-10.64548	-7.191602
Pik3r3	-13.502348	-10.04847
Unc93b1	-14.195495	-10.741616
Map4k3	-12.736138	-9.28226
Ankrd1	-12.64635	-9.1924715
Pak1ip1	-11.451914	-7.998036
Med20	-13.160949	-9.70707
Pan3	-12.317981	-8.864102
Smarca4	-11.88549	-8.431612
Nup133	-13.229402	-9.775523
Fbln7	-11.340616	-7.8867383
Cstf3	-12.380948	-8.92707
Pla2g15	-13.223347	-9.769468
Ptges	-18.333324	-14.879447
Rab3b	-16.659348	-13.20547
Tia1	-12.093049	-8.639171
Gm5144	-15.25755	-11.803672
Tgfa	-18.333324	-14.879447
Mlec	-11.643311	-8.189432
Tsen15	-12.556705	-9.102827
Lrrc49	-13.938875	-10.484997
Acot11	-12.752337	-9.298459
Ctsl	-9.690674	-6.2367964
Sos1	-12.56918	-9.115301
Gm10549	-15.966201	-12.512322
Jpx	-14.23898	-10.785102
A430110L20Rik	-16.253883	-12.800005
Gm11730	-19.431936	-15.978059
Klhl32	-17.03404	-13.580163
Orai2	-16.099731	-12.645854
Papolb	-18.738789	-15.284911
Lca5	-13.867416	-10.413538
1700109G14Rik	-18.738789	-15.284911
Mfap3	-12.516213	-9.062335
Pard3bos3	-19.431936	-15.978059
Edn3	-19.431936	-15.978059
Sema3e	-14.549135	-11.095257
Abhd17c	-14.564403	-11.110524
Olfr912	-18.738789	-15.284911
Rpsa	-8.309169	-4.8552914
Nudt14	-13.626802	-10.172924
Gm9898	-19.431936	-15.978059
Tnfrsf13c	-19.431936	-15.978059
Bcl9l	-11.448838	-7.9949603
Cdk9	-11.605494	-8.151615
Slc5a3	-12.504379	-9.050501
Ets2	-11.133895	-7.680017
Elf4	-13.918509	-10.46463
Atl3	-10.894157	-7.4402795
Ankrd29	-12.418021	-8.964143
Tspan13	-18.333324	-14.879447
Map3k15	-17.640177	-14.186299
Usp21	-13.445485	-9.991607
Gm43113	-18.04564	-14.5917635
Zfp473	-16.866987	-13.41311
BC002059	-14.133619	-10.679741
2310002D06Rik	-17.352495	-13.898617
a	-17.822498	-14.368621
Nol6	-13.502348	-10.04847
Rbpms	-8.73234	-5.278462
Gm16272	-18.738789	-15.284911
Rasip1	-17.822498	-14.368621
Kcnj4	-18.738789	-15.284911
Cacna2d3	-17.234713	-13.780834
Pradc1	-12.997391	-9.543512
Ngef	-14.222451	-10.768573
Dhx38	-12.863859	-9.409981
Klhl42	-12.956505	-9.502626
Gas8	-12.854075	-9.400197
Runx2	-15.905577	-12.451698
Ptprc	-19.431936	-15.978059
Gm28151	-16.79288	-13.339002
Tent5c	-13.352004	-9.898126
Fam172a	-11.937507	-8.483628
Napa	-11.398928	-7.94505
Slc25a11	-11.7289295	-8.275051
2610528A11Rik	-18.04564	-14.5917635
Dlec1	-17.822498	-14.368621
Rpl10a	-8.516503	-5.0626254
Baz2a	-12.463087	-9.009209
Gm44317	-17.486027	-14.032148
Uqcrh	-9.135799	-5.6819215
Zfp568	-12.450932	-8.997053
Cyhr1	-10.990114	-7.5362363
Sec24d	-11.308083	-7.8542047
Sgsm3	-13.826135	-10.372256
Eci1	-11.761975	-8.308097
Pdss1	-14.541588	-11.087709
Ucn2	-19.431936	-15.978059
Casp12	-11.331776	-7.8778977
Gls2	-16.487497	-13.03362
Gm36419	-18.738789	-15.284911
Fitm1	-15.718365	-12.264486
Gm30541	-15.442953	-11.989075
Sgcd	-10.560713	-7.106835
Usp49	-14.313943	-10.8600645
Osgin1	-15.480694	-12.026815
Chic2	-11.61673	-8.162851
Hsh2d	-18.04564	-14.5917635
Zfp703	-12.490747	-9.036869
Hgf	-14.826767	-11.372889
2310068J16Rik	-14.704549	-11.25067
Actg2	-10.153284	-6.699406
Atg12	-11.904143	-8.450265
Gm47424	-17.640177	-14.186299
1700001G11Rik	-16.79288	-13.339002
Tmem201	-13.863592	-10.409714
Helz2	-14.483177	-11.029299
Hacl1	-13.193612	-9.739734
Phrf1	-12.682006	-9.2281275
Zbtb11	-12.466857	-9.012979
Ipo13	-12.933655	-9.479776
Shq1	-14.113817	-10.659939
Appbp2	-11.651634	-8.197756
Arl9	-18.333324	-14.879447
Gm36037	-18.333324	-14.879447
AA388235	-18.738789	-15.284911
Gm10848	-13.666746	-10.212868
Csad	-11.772294	-8.318416
Ing4	-11.980115	-8.526237
Adora2b	-16.340895	-12.887016
Fastkd2	-13.31384	-9.8599615
Gbp8	-19.431936	-15.978059
0610040F04Rik	-19.431936	-15.978059
Dennd5a	-11.579886	-8.126008
1700049E15Rik	-16.94703	-13.493152
Uhrf2	-11.854303	-8.400425
Rps10	-8.1696415	-4.715764
Gpr34	-17.822498	-14.368621
Cdk5rap1	-13.989519	-10.535641
Mical2	-10.778292	-7.324414
Srpx	-15.540117	-12.086239
Pign	-13.914484	-10.460606
Scyl1	-11.856353	-8.402474
Gm49980	-14.217001	-10.763123
Egln1	-11.917137	-8.463259
AW047730	-17.486027	-14.032148
Nptxr	-13.131151	-9.677273
Mrps26	-11.688233	-8.234355
Camsap3	-15.876589	-12.42271
Gm4316	-17.822498	-14.368621
Gabarapl2	-10.605203	-7.1513247
Letm1	-12.014357	-8.560478
C87436	-12.519195	-9.065316
Fbxo30	-10.880922	-7.4270444
Gm14209	-18.333324	-14.879447
Gm20300	-12.997391	-9.543512
