gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
AHR (human),80,Optc;Cdca8;Hsph1;Bhlhe41;Dgat2;Mbd2;Fabp3;Cenpa;Sap30;Foxo3;Rnft1;Kcnd3;Bmf;Hsp90aa1;Me3;Cdc40;Itgb3;Ppp1r3b;Egr2;Aimp2;Rcor2;Tspan4;Tfap4;Id1;Nrn1;Ccdc107;Pcsk4;Sec14l1;Nfil3;Herpud1;Mnt;Scara5;Lax1;Capn3;Cytl1;Myocd;Vcan;Pik3r3;Fam71a;Tbc1d1;Gfod1;Cry1;Hmgcr;Cygb;Myc;St3gal5;Tnnc1;Pawr;Cyb561;Rara;Angptl4;Adamtsl5;Phlda1;Mamstr;Pitpnm2;Spire1;Phactr3;Drd1;Wasf1;Irx3;Dnaja4;Slc24a4;Lsp1;Tmem50b;Tnnt2;Ifit3;Adrb1;Npy1r;Tgfbi;S1pr3;Manba;Smad7;Efna1;Fgfr2;Slc4a8;Ddit3;Spry1;Hlf;Camk2b;Chchd6,0.208886,0.070294,-0.037766,0.173328,-0.038598,-0.10919,0.037814,-0.138593,-0.215618,-0.062748,-0.061386,-0.149725,0.046564
NR2F1 (mouse),43,Pcdhga10;Dusp1;Bhlhe40;Jam2;Pfkfb3;Eif4ebp1;Bdnf;Ahsa2;Unc5b;Dclk1;Tspan4;Hivep3;Anln;Id1;Nfil3;Pak3;Narf;Tnfaip6;Cry1;Mvd;Hmgcr;Hnrnpm;Phf19;Gramd1c;Btg1;Cdkn1a;Slc8a3;Snrpn;Sbsn;Ablim1;Ppef1;Rcan1;Spire1;C1qtnf7;Dnajb2;Smpdl3b;Manf;Gpm6b;Ifit3;Pdk4;Dock5;Tiparp;Mlph,0.207252,0.046307,-0.06171,0.160598,-0.020026,-0.100657,0.093506,-0.160945,-0.266831,-0.058359,-0.000894,-0.079969,0.102939
RORB (mouse),43,Pcdhga10;Dusp1;Bhlhe40;Jam2;Pfkfb3;Eif4ebp1;Bdnf;Ahsa2;Unc5b;Dclk1;Hivep3;Tspan4;Anln;Id1;Nfil3;Pak3;Narf;Tnfaip6;Cry1;Mvd;Hmgcr;Hnrnpm;Phf19;Gramd1c;Btg1;Cdkn1a;Slc8a3;Snrpn;Sbsn;Ablim1;Ppef1;Rcan1;Spire1;C1qtnf7;Dnajb2;Smpdl3b;Manf;Gpm6b;Ifit3;Pdk4;Dock5;Tiparp;Mlph,0.207252,0.046307,-0.06171,0.160598,-0.020026,-0.100657,0.093506,-0.160945,-0.266831,-0.058359,-0.000894,-0.079969,0.102939
ZNF354C (human),58,Ngef;Klf11;Pdgfb;Nkx3-1;Kcnb1;Tmem26;Egln3;Bik;Zbtb16;Rasl11b;Has3;Leo1;Fam13c;Pim3;Bdnf;Htr2a;Aph1a;Bcas2;Hsp90ab1;Mfsd10;Crispld2;Scn2b;Art3;Rassf3;Tspan4;Ano1;Hsd17b7;Atoh8;Cytl1;Cav1;Hmgb3;Lasp1;Lnx1;Cck;Serpine1;Tigd4;Smc2;Gnl1;Tal2;Phf19;Ckm;Dgkd;Ppef1;Cacnb2;Phactr3;Drd1;Selenbp1;P2rx5;Uba52;Klhdc8b;Dpf1;Nmb;Nol3;Rasd1;Ncald;Il15ra;Dcn;Hlf,0.205187,0.123511,0.044917,0.24545,-0.078705,-0.154486,0.005752,-0.015654,-0.101353,0.078694,-0.081676,-0.192892,0.017082
FOXA1 (human),57,Fez1;Psmd9;Prex2;Sult1a1;Nkx3-1;Fos;Lars2;Prrx2;Slc25a33;Rnft1;Fam13c;Fam13a;Synpo2l;Rsad1;Epb41;Ppp1r3b;Ctps;Cd14;Zbed5;Tnfrsf12a;Ube2g1;Csdc2;Pcsk5;Proca1;Rgs1;Wsb1;Homer2;Hspa1a;Enpep;Fam120c;Slc16a11;Gnl1;Rnf145;Trim2;Fmo1;Yipf4;Acss1;Ppef1;Dnajc1;Dnajb1;Selenbp1;Smpdl3b;Rhebl1;Klhdc8b;Gpm6a;Dpf1;Krt18;Aldoa;Slc35f5;Gsta4;Ncald;Hspb1;Hist1h1c;Plaur;Palld;Col8a1;Six4,0.199824,0.060655,-0.054732,0.148925,-0.026334,-0.13029,0.07347,-0.139169,-0.227718,-0.050076,-0.048958,-0.147717,0.033255
PURA (human),33,Myc;Kcnb1;Mecom;G0s2;Cenpa;Rspo3;Clec3b;Ablim1;Cacnb2;Gstt1;Bag3;Angpt4;Txnrd3;Ntrk3;Tub;Tm4sf1;Rin3;Arc;Hivep3;Mlf1;Tppp3;Id2;Aldoa;Socs3;Nav2;Rbm24;Mast4;Lasp1;Fam71a;Rbm38;Lnx1;Spry1;Acan,0.196201,-0.143832,-0.2885,-0.025702,0.052369,-0.057803,0.175186,-0.021389,-0.137705,0.09082,-0.018757,-0.144338,0.108568
RARA (human),67,Lxn;Sdf2l1;Tmc7;Cdkl5;Spsb1;Prrx2;Srsf5;Fam13a;Bcas2;Prc1;Actn2;Mgp;Epb41;Aimp2;Scn2b;Tspan4;Cd14;Tfap4;Ide;Sec14l1;Bbs5;Spc24;Plvap;Nexn;Capn3;Ccnb1ip1;Rbm44;Samhd1;Tef;Ahnak;Adcy7;Parl;St3gal5;Serpinf1;Nr1d2;Hspa4l;Tet1;Pqlc3;Nmnat2;Adamtsl5;Sema4a;Sema4c;Rbbp4;Usp2;Mamstr;Ccdc42;Col14a1;Dusp18;Xirp1;Selenbp1;Uba52;Lsp1;Adamts8;Tmem50b;Nceh1;Por;Nqo1;Gdf15;Manba;Pdia6;Caprin2;Cmtm6;Idi1;Rwdd3;Plaur;Pik3ip1;Camk2b,0.195903,0.073999,-0.007734,0.152517,-0.079997,-0.179452,0.007909,-0.035029,-0.112686,0.04809,-0.121904,-0.224168,-0.022908
TP53 (mouse),39,Tmem82;Psmd9;Micall2;Abcb1b;Baz1a;Lrrc39;Fos;Srsf5;Leo1;Pim3;Kif20b;Grap;Rassf2;Csdc2;Dync1i2;Plvap;Pak4;Fdps;Eef2k;Irf7;Rbm14;Prelid2;Ier3;Tm9sf1;Cdkn1a;Ckb;Pitpnm2;Erf;Fam107a;Serinc3;Klf9;Uba52;Rhebl1;Lman2l;Nqo1;Sipa1l3;Stil;Cmtm6;Hspb1,0.192055,-0.0647,-0.183624,0.041076,-0.047728,-0.152729,0.060249,0.020406,-0.102088,0.140309,-0.17165,-0.286381,-0.050351
Pax2 (mouse),59,Stard3;Optc;Ngef;Gbp5;Atf4;Lxn;Kcnb1;Sphk1;Rapgef5;Ly6e;Fbxo31;Bdnf;Kcnk3;Ip6k2;Crispld2;Ctps;Rgl1;Id4;Neu2;Dync1i2;Scara5;Pak3;Gem;Plb1;Rgs1;Plk2;Tet1;Tal2;Fmo2;Fmo4;Rspo3;Ckm;Cyp51;Fam47e;Igfbp2;Dnajb2;Ccdc60;Slc46a3;Apcdd1;Abra;Vasn;Arc;Klhdc8b;Arl6ip5;Nmb;Tsc22d3;Tlr2;Sgk1;Cited2;Stc2;Trp53bp1;Stil;Col6a6;Dock5;Hba-a1;Dbp;Lonrf1;Clock;Acan,0.189938,0.038318,-0.052121,0.1236,-0.151621,-0.277561,-0.037937,-0.080284,-0.153768,0.017732,-0.067753,-0.169336,0.037042
CBEPB (mouse),112,Fez1;Kcnb1;Rasl11b;Bmf;Kcnk1;Ip6k2;Txnip;Xbp1;Sphkap;Net1;Dync1i2;Herpud1;Pclo;Ccnb1ip1;Htra4;Slc41a1;Homer2;Armc2;Adcy7;Sncaip;Hipk2;Usp2;Dnajb4;Col27a1;Ifrd2;Apcdd1;Arrdc3;Sipa1l3;Cstad;Dock10;Hist1h2ae;Col6a6;Prex2;Rnft1;Mylk4;Tagln2;Stk35;Stbd1;Zbp1;Capn3;Mmp3;Mt2;Fam98b;Daam1;Sulf1;Abca8a;Enkur;Txnrd3;Pfn1;Gpm6a;Gpm6b;Nmb;Hist1h1c;Palld;Mettl7a1;Abcb1b;Bhlhe41;Hoxc10;Mecom;Ndst3;Osgin1;Ahsa1;Dlx5;Hnrnpa1;Ccdc80;Nav2;Fam71a;Rnd3;Hnrnpd;Gng2;Kitl;Pqlc3;Gramd1c;Col23a1;Snrpn;Rab20;Frmd4a;Tlr2;Rab6b;Gabrq;Hfe;Wnt16;Idi1;Hlf;Rfx2;Tmc7;Ptgs2;Mapkapk3;Upp2;Kif20b;Ppp1r3a;Cd14;Ptprd;Id3;Id2;Ndufv3;Rgs1;Serpine1;Mthfr;Tet1;Fmo2;Brd7;Sema4a;Igfbp5;Inmt;Serpini1;Tsc22d3;Stc2;Myoz2;Pdia6;Pik3ip1;Spry1,0.188742,0.039398,-0.036255,0.116159,-0.056159,-0.134784,0.017152,-0.149344,-0.216713,-0.083161,-0.073062,-0.132864,-0.000636
